exchange,symbol,isin,series,open,high,low,close,prev_close,volume,value,trades
BSE,1STCUS,INE609B01018,X,66.00,66.00,60.26,62.87,63.74,144,9262.00,18
BSE,20MICRONS,INE144J01027,B,192.75,197.65,192.50,193.75,191.55,25905,5006975.00,264
BSE,21STCENMGM,INE253B01015,B,31.68,31.68,30.66,31.42,31.06,2185,68652.00,9
BSE,360ONE,INE466L01038,A,1093.90,1106.45,1087.75,1100.65,1092.30,1324875,1457354577.00,2013
BSE,3BBLACKBIO,INE994E01018,B,1195.95,1200.00,1165.75,1171.10,1174.40,1344,1595494.00,230
BSE,3BFILMS,INE0TE101010,MT,15.58,16.89,15.58,15.65,16.40,45000,712530.00,15
BSE,3CIT,INE0R7D01018,M,16.25,16.25,16.25,16.25,16.25,2000,32500.00,1
BSE,3IINFOLTD,INE748C01038,B,18.50,18.51,18.12,18.22,18.13,47911,874967.00,301
BSE,3MINDIA,INE470A01017,A,34210.50,35294.85,34210.50,34759.10,34217.10,268,9369971.00,165
BSE,3PLAND,INE105C01023,B,32.34,32.50,31.14,31.41,33.00,692,21814.00,19
BSE,5PAISA,INE618L01018,B,363.30,380.20,363.25,377.65,365.95,5454,2046934.00,233
BSE,63MOONS,INE111B01023,A,674.00,680.10,662.85,671.10,666.90,9302,6261698.00,426
BSE,7NR,INE413X01035,XT,5.61,5.94,5.51,5.57,5.73,24850,139745.00,71
BSE,7SEASL,INE454F01010,X,72.47,73.56,71.51,71.60,72.47,4806,346327.00,55
BSE,7TEC,INE856B01023,X,38.80,38.80,35.11,35.55,37.63,24922,906794.00,332
BSE,A1L,INE911Z01025,B,6.94,6.94,6.94,6.94,7.30,504332,3500064.00,1187
BSE,A2ZINFRA,INE619I01012,B,13.90,13.90,13.47,13.58,13.47,8628,116611.00,38
BSE,AAATECH,INE0D0U01013,B,95.59,97.24,95.13,95.30,95.91,797,76301.00,93
BSE,AADHARHFC,INE883F01010,A,526.65,536.55,525.00,531.15,525.40,48405,25711973.00,3811
BSE,AADIIND,INE563D01013,X,8.95,8.95,8.90,8.90,9.00,246,2189.00,7
BSE,AAIL,INE864E01021,X,81.35,84.00,80.00,81.14,82.44,4858,393606.00,41
BSE,AANCHALISP,INE322R01022,XT,88.35,88.35,88.35,88.35,93.00,3693,326276.00,48
BSE,AAREYDRUGS,INE198H01019,T,87.20,87.20,87.20,87.20,87.70,5,436.00,1
BSE,AARNAV,INE750R01016,B,24.92,25.49,24.50,24.98,24.92,4461,110939.00,46
