exchange,symbol,isin,series,open,high,low,close,prev_close,volume,value,trades
BSE,BLACKROSE,INE761G01016,T,107.90,111.45,105.05,111.35,106.15,9114,1000977.00,95
BSE,BLAL,INE0N7W01012,B,164.00,167.20,162.15,164.25,163.30,2701,447144.00,140
BSE,BLBLIMITED,INE791A01024,B,16.30,17.80,15.99,16.18,15.98,25677,415232.00,105
BSE,BLEL,INE1EEM01017,B,440.50,443.95,434.10,440.65,440.10,15881,6944192.00,422
BSE,BLIL,INE525F01025,B,67.41,67.57,65.90,67.29,67.11,26136,1744656.00,612
BSE,BLISSGVS,INE416D01022,T,694.95,694.95,650.25,657.55,680.40,8152,5433168.00,215
BSE,BLKASHYAP,INE350H01032,B,52.35,56.45,51.05,51.77,52.60,11085,578480.00,192
BSE,BLS,INE153T01027,A,226.50,233.70,224.05,232.65,226.50,170455,39196247.00,2703
BSE,BLSE,INE0NLT01010,B,317.45,324.15,316.05,316.90,316.00,10279,3282918.00,278
BSE,BLUECHIP,INE657B01025,T,2.13,2.13,2.13,2.13,2.17,20,42.00,1
BSE,BLUECHIPT,INE472D01017,X,124.95,124.95,112.00,118.00,118.95,1461,167700.00,22
BSE,BLUECLOUDS,INE373T01047,B,19.38,19.56,18.95,19.09,19.37,517066,9870492.00,1199
BSE,BLUECOAST,INE472B01011,B,21.59,21.59,20.65,20.65,21.59,166,3432.00,38
BSE,BLUEDART,INE233B01017,A,4830.00,4920.00,4797.00,4803.30,4818.60,522,2513809.00,155
BSE,BLUEJET,INE0KBH01020,A,580.25,591.60,575.45,579.60,575.20,28312,16536082.00,998
BSE,BLUESTARCO,INE472A01039,A,1534.95,1579.00,1534.95,1565.00,1559.30,60372,94455290.00,4252
BSE,BLUESTONE,INE304W01038,A,815.05,857.75,815.05,845.40,828.00,36847,31064385.00,1273
BSE,BLUSPRING,INE0U4101014,B,123.70,124.70,116.00,122.00,123.70,27370,3359995.00,319
BSE,BMBMUMG,INE644K01016,XT,6.40,6.46,6.29,6.29,6.25,868,5484.00,10
BSE,BMW,INE374E01021,X,52.90,53.39,50.56,51.37,52.08,83150,4319003.00,670
BSE,BMWVENTLTD,INE965W01036,B,52.14,52.76,50.00,50.30,52.53,18231,940405.00,405
BSE,BNAGROCHEM,INE00HZ01011,B,205.00,205.00,205.00,205.00,205.00,74,15170.00,5
BSE,BNALTD,INE489D01011,T,355.10,355.10,355.00,355.00,370.00,150,53250.00,4
BSE,BNRSEC,INE710D01028,X,17.38,17.69,17.21,17.28,17.56,5229,90426.00,83
BSE,BNRUDY,INE355C01016,X,35.00,36.08,35.00,36.08,37.12,3,106.00,3
BSE,BODALCHEM,INE338D01028,B,194.95,199.95,194.00,197.25,190.45,318722,63206111.00,2897
BSE,BODHTREE,INE104F01029,X,13.13,13.73,13.13,13.73,13.13,2722,37194.00,13
BSE,BOMBCYC,INE691K01017,X,1580.00,1598.45,1541.00,1589.25,1570.60,8,12463.00,4
BSE,BOMBWIR,INE089T01023,X,42.90,42.90,42.00,42.00,42.00,321,13580.00,7
BSE,BOMDYEING,INE032A01023,B,110.95,111.50,109.70,110.20,111.25,15117,1668063.00,208
BSE,BOMOXY-B1,INE01TL01014,X,17860.05,18599.95,17860.05,18599.95,18204.00,24,432021.00,12
BSE,BOMTALKIES,INE910D01024,X,3.27,3.27,3.20,3.20,3.12,201,656.00,3
BSE,BONDADA,INE0Q8P01029,M,270.00,272.00,263.30,266.70,269.60,95800,25707630.00,339
BSE,BONLON,INE0B9A01018,B,41.00,41.00,38.10,39.19,38.30,39951,1565182.00,73
BSE,BORANA,INE16SF01016,B,297.20,298.85,294.65,294.70,296.05,581,172446.00,28
BSE,BOROLTD,INE02PY01013,B,260.00,265.50,255.35,260.75,260.00,24144,6244172.00,423
BSE,BORORENEW,INE666D01022,A,461.50,477.60,459.60,473.55,459.60,40016,18913028.00,1344
BSE,BOROSCI,INE02L001032,B,124.00,124.00,118.80,119.90,120.00,1405,168802.00,42
BSE,BOSCH-HCIL,INE782A01015,B,1661.65,1704.90,1661.60,1688.05,1695.55,1066,1802694.00,143
BSE,BOSCHLTD,INE323A01026,A,47500.00,48150.00,47500.00,47600.00,47800.00,4333,207142435.00,309
BSE,BOSTON,INE109B01019,X,6.89,6.89,6.89,6.89,6.57,44268,305006.00,8
BSE,BPAGRI,INE439N01031,B,7.45,7.47,7.05,7.14,7.19,43421,313392.00,194
BSE,BPCAP,INE947C01010,XT,10.34,10.34,10.34,10.34,10.34,1,10.00,1
BSE,BPCL,INE029A01011,A,313.55,315.75,310.90,312.00,307.50,1063448,331856646.00,1265
BSE,BPL,INE110A01019,B,48.60,48.60,44.00,44.80,45.77,6578,300113.00,112
BSE,BPLPHARMA,INE365Y01019,B,1538.00,1583.25,1538.00,1545.00,1504.15,42,64762.00,19
BSE,BRADYM,INE856A01017,X,645.00,699.00,644.00,668.70,651.40,294,196203.00,37
BSE,BRAHMINFRA,INE320I01017,B,162.85,162.85,159.00,159.65,162.00,813,130214.00,36
BSE,BRAWN,INE899B01015,X,21.66,21.66,21.66,21.66,22.80,1097,23761.00,4
BSE,BRIDGESE,INE958C01025,X,8.25,8.62,8.10,8.55,8.21,1883537,15899943.00,1033
BSE,BRIGADE,INE791I01019,A,624.20,629.00,605.05,608.55,621.35,8691,5339851.00,393
BSE,BRIGHOTEL,INE03NU01014,B,56.90,56.90,55.00,56.31,56.33,7830,441040.00,351
BSE,BRIGHT,INE0OMI01019,M,347.00,355.00,347.00,349.00,347.00,4500,1586587.00,11
BSE,BRIGHTBR,INE630D01010,B,252.95,255.00,240.00,251.45,251.80,3013,728790.00,72
BSE,BRIJLEAS,INE957E01031,X,8.81,8.81,8.20,8.50,8.84,3165,26528.00,15
BSE,BRISK,INE0Q6L01014,MT,69.88,69.88,69.88,69.88,69.88,800,55904.00,1
BSE,BRITANNIA,INE216A01030,A,4984.55,5027.50,4984.55,5019.40,5016.00,23719,118939536.00,1822
BSE,BRNL,INE727S01012,B,16.39,16.47,15.86,16.06,16.33,1869,29930.00,36
BSE,BROOKS,INE650L01011,B,61.01,61.98,58.96,59.32,61.39,4750,283866.00,119
BSE,BRPL,INE319Q01012,B,152.90,160.95,150.60,155.05,156.30,15744,2432121.00,330
BSE,BSELALGO,INE395A01016,X,3.99,4.02,3.90,3.93,3.93,118644,469875.00,162
BSE,BSHSL,INE032Z01020,B,89.00,89.50,84.58,86.27,89.50,477,40784.00,38
BSE,BSL,INE594B01012,B,125.50,129.00,125.40,126.00,115.65,637,80169.00,40
BSE,BSOFT,INE836A01035,A,281.00,286.00,278.00,284.25,280.10,59785,16825395.00,1179
BSE,BTML,INE0EEJ01023,B,7.25,7.66,7.04,7.11,7.25,36164,265911.00,247
BSE,BTTL,INE274K01012,T,40.50,40.50,39.50,40.00,40.70,1410,56380.00,9
BSE,BUILDPRO,INE24OJ01011,B,1258.10,1308.00,1257.80,1277.65,1254.55,8128,10516842.00,555
BSE,BURNPUR,INE817H01022,T,17.85,17.85,17.05,17.05,17.94,5629,96784.00,84
BSE,BUTTERFLY,INE295F01017,B,588.25,592.35,571.80,574.60,584.95,1973,1143557.00,194
BSE,BVCL,INE139I01011,B,41.56,41.56,40.92,41.48,41.70,553,22696.00,66
BSE,BYKE,INE319B01014,B,31.50,31.50,30.10,30.10,30.00,2734,83398.00,32
BSE,CALCOM,INE216C01010,X,73.50,73.50,62.00,64.90,68.08,13722,903824.00,139
BSE,CALLISTA,INE714Q01014,XT,127.30,140.00,127.30,137.90,133.95,7855,1016129.00,29
BSE,CALSOFT,INE526B01014,T,40.89,41.13,39.96,41.13,39.18,27674,1125670.00,84
BSE,CAMEXLTD,INE198C01010,X,52.90,52.90,48.60,49.09,49.81,1213,60971.00,23
BSE,CAMLINFINE,INE052I01032,B,97.75,99.40,96.70,98.65,97.55,63891,6268455.00,611
BSE,CAMPUS,INE278Y01022,A,212.35,213.20,209.40,211.00,212.20,13397,2827144.00,527
BSE,CAMS,INE596I01020,A,715.00,715.00,703.20,704.50,708.05,70864,50279879.00,2240
BSE,CANBK,INE476A01022,A,123.40,123.95,123.00,123.65,123.50,283469,34998009.00,2008
BSE,CANDOUR,INE713D01055,XT,65.40,65.40,63.80,65.39,62.36,307,20041.00,10
BSE,CANFINHOME,INE477A01020,A,780.00,782.30,767.00,769.40,780.00,64877,50232878.00,687
BSE,CANHLIFE,INE01TY01017,B,150.55,153.35,149.65,153.00,153.75,433035,65274309.00,656
BSE,CANTABIL,INE068L01024,B,241.40,242.90,239.00,240.75,243.00,766,184858.00,44
BSE,CAPACITE,INE264T01014,B,194.30,195.70,192.65,195.15,195.85,8679,1685820.00,211
BSE,CAPFIN,INE960C01013,XT,120.10,120.10,120.10,120.10,126.40,125,15012.00,3
BSE,CAPILLARY,INE0ILV01024,B,493.45,524.60,485.70,509.55,484.10,50098,25574188.00,1885
BSE,CAPINVIT,INE0Z8Z23013,IF,76.55,77.20,76.52,76.97,76.95,15019,1154585.00,290
BSE,CAPITALSFB,INE646H01017,B,274.30,283.00,274.30,280.65,279.20,785,217507.00,88
BSE,CAPLIPOINT,INE475E01026,A,2760.00,2815.95,2710.00,2756.90,2747.85,3266,9093108.00,452
BSE,CAPPIPES,INE513R01026,B,7.95,8.00,7.26,7.67,7.77,115580,895375.00,591
BSE,CAPRICORN,INE968E01012,XT,29.58,29.58,29.58,29.58,30.18,135468,4007143.00,29
BSE,CAPRIHANS,INE479A01018,XT,120.00,120.10,119.00,119.00,121.00,585,69914.00,14
BSE,CAPRO,INE470N01010,X,46.50,46.50,46.50,46.50,46.55,2,93.00,1
BSE,CAPTRUST,INE707C01018,T,20.00,20.00,18.68,19.75,19.41,933,17723.00,12
BSE,CARBORUNIV,INE120A01034,A,1178.30,1228.00,1152.45,1182.45,1125.65,206958,246951455.00,8563
BSE,CARERATING,INE752H01013,A,1668.50,1668.50,1618.00,1627.35,1663.95,8189,13508993.00,319
BSE,CARNATIN,INE081B01028,XT,103.17,103.17,103.17,103.17,103.17,15,1547.00,4
BSE,CARRARO,INE0V7W01012,B,519.95,532.00,519.95,527.00,524.95,3811,2000543.00,241
BSE,CARTRADE,INE290S01011,A,2989.40,2991.55,2911.20,2917.70,2989.40,12294,36190916.00,1163
BSE,CARYSIL,INE482D01024,B,1129.80,1135.40,1058.70,1066.35,1130.00,6491,7027103.00,559
BSE,CASPIAN,INE176N01039,X,31.55,34.66,31.55,33.57,33.82,2116,69429.00,50
BSE,CASTORA,INE641H01018,X,13.27,14.59,13.27,13.90,13.91,2588,36479.00,37
BSE,CASTROLIND,INE172A01027,A,196.90,196.90,192.90,193.40,196.90,150057,29249088.00,1507
BSE,CATVISION,INE660B01011,X,20.00,20.00,18.95,19.62,18.77,1938,38192.00,32
BSE,CBPL,INE07QQ01016,M,50.50,52.05,50.50,52.05,49.61,6000,310400.00,5
BSE,CCAL,INE0M7501019,MT,43.20,44.96,43.20,44.96,44.08,12000,528960.00,2
BSE,CCAVENUE,INE483S01020,A,15.93,16.29,15.84,15.99,16.08,423568,6793967.00,1154
BSE,CCCL,INE429I01024,B,14.50,16.40,13.55,13.58,13.75,18000,246400.00,66
BSE,CCDL,INE187R01029,XT,1.04,1.04,1.04,1.04,1.09,374998,389997.00,289
BSE,CCHHL,INE652F01027,B,12.51,13.39,12.41,12.94,13.04,6893,89696.00,85
BSE,CCL,INE421D01022,A,1058.75,1078.05,1055.00,1073.10,1064.35,3426,3646222.00,262
BSE,CCLINTER,INE778E01031,X,23.20,23.20,21.01,22.09,22.75,1240,27620.00,22
BSE,CCME,INE194N01016,X,38.27,38.27,36.63,38.27,36.45,12742,486856.00,82
BSE,CEATLTD,INE482A01020,A,3468.20,3485.15,3380.00,3387.20,3468.20,2480,8457572.00,437
BSE,CEEJAY,INE358C01010,X,159.40,159.40,159.20,159.30,159.45,59,9398.00,5
BSE,CEENIK,INE418D01010,XT,225.00,230.00,225.00,230.00,234.00,291,65975.00,5
BSE,CEETAIN,INE760J01012,X,38.50,38.50,38.50,38.50,38.50,1,38.00,1
BSE,CEIGALL,INE0AG901020,B,374.50,381.95,370.30,379.45,373.75,9947,3748074.00,296
BSE,CEINSYS,INE016Q01014,B,688.95,719.95,681.00,709.55,675.40,20865,14729646.00,1392
BSE,CELEBRITY,INE185H01016,B,6.41,6.83,6.41,6.70,6.83,5483,37014.00,43
BSE,CELLA,INE266H01014,Z,38.31,41.58,38.31,40.05,40.01,17003,685491.00,72
BSE,CELLO,INE0LMW01024,A,322.70,324.20,314.90,321.65,322.55,35073,11200590.00,1224
BSE,CEMAINFRA,INE222B01028,X,4.80,4.80,4.75,4.75,4.82,517,2460.00,11
BSE,CEMPRO,INE686A01026,A,1261.65,1274.10,1248.05,1256.00,1263.55,8255,10397219.00,849
BSE,CENLUB,INE627F01011,X,169.75,180.00,165.40,178.20,164.35,10587,1816479.00,168
BSE,CENTENKA,INE485A01015,B,555.00,573.70,555.00,571.90,561.65,3296,1872617.00,481
BSE,CENTEXT,INE281A01026,B,18.55,19.38,18.55,19.37,19.17,29028,557790.00,174
BSE,CENTRALBK,INE483A01010,A,31.32,31.70,31.10,31.52,31.76,534524,16850627.00,1642
BSE,CENTRUM,INE660C01027,B,21.75,22.10,21.69,21.87,21.92,21939,478388.00,103
BSE,CENTUM,INE320B01020,B,4345.80,4809.85,4345.80,4743.35,4333.70,9704,44969108.00,1819
