exchange,symbol,isin,series,open,high,low,close,prev_close,volume,value,trades
BSE,WESTLEIRES,INE266P01017,X,71.85,71.85,71.85,71.85,71.11,4,287.00,2
BSE,WESTLIFE,INE274F01020,A,550.95,567.15,550.95,565.00,547.20,1227,690422.00,81
BSE,WEWIN,INE082W01014,B,43.59,43.59,43.00,43.00,40.35,26,1119.00,7
BSE,WEWORK,INE085001019,B,684.00,693.00,676.80,681.90,682.45,8688,5943512.00,403
BSE,WHBRADY,INE855A01019,B,480.00,485.00,480.00,484.80,485.00,281,135467.00,26
BSE,WHEELS,INE715A01015,B,2134.40,2235.55,2120.50,2174.60,2123.30,22791,49491400.00,2907
BSE,WHIRLPOOL,INE716A01013,A,726.60,735.00,706.30,719.35,727.10,36727,26396722.00,1845
BSE,WHITEORG,INE146C01019,X,3.36,3.38,3.30,3.33,3.31,9776,32520.00,53
BSE,WILLIMFI,INE188E01017,X,4.40,4.40,4.40,4.40,4.45,1119,4923.00,4
BSE,WINDLAS,INE0H5O01029,B,1124.75,1135.85,1105.00,1107.10,1117.55,3259,3632867.00,270
BSE,WINDMACHIN,INE052A01021,B,301.00,302.95,295.45,300.45,300.85,2142,640280.00,83
BSE,WINSOMBR,INE391C01011,X,20.50,20.80,19.16,20.00,19.86,10422,210806.00,106
BSE,WINSOMTX,INE837B01031,X,81.60,83.82,79.99,80.86,81.49,57539,4703147.00,51
BSE,WIPRO,INE075A01022,A,167.15,167.15,163.35,166.00,166.35,669293,110068099.00,9672
BSE,WOCKPHARMA,INE049B01025,A,2074.65,2109.35,2048.00,2086.95,2070.80,71154,148606912.00,1502
BSE,WOMENNET,INE905B01010,X,7.14,7.14,7.14,7.14,7.51,197,1406.00,2
BSE,WONDERLA,INE066O01014,B,518.70,529.50,516.10,527.90,516.65,6939,3647222.00,350
BSE,WORKMATES,INE1I1301016,M,427.70,430.05,406.35,406.35,427.70,52200,21464580.00,82
BSE,WORTH,INE114O01020,X,3.43,3.54,3.37,3.42,3.50,4387517,15241215.00,280
BSE,WORTHPERI,INE196Y01018,B,149.60,149.60,149.60,149.60,143.50,30,4488.00,9
BSE,WPIL,INE765D01022,B,444.25,444.30,431.00,433.00,441.55,5531,2399607.00,296
BSE,WSFX,INE549D01012,X,64.21,65.80,63.75,64.01,64.53,799,51923.00,11
BSE,WSI,INE100D01014,B,57.60,58.90,56.79,58.38,57.60,5906,341287.00,73
BSE,WSTCSTPAPR,INE976A01021,B,715.00,771.10,714.85,768.55,716.85,26749,20065628.00,1567
BSE,XCHANGING,INE692G01013,B,62.47,62.75,61.60,62.75,61.71,4534,280759.00,87
BSE,XELPMOC,INE01P501012,B,75.60,75.75,73.20,75.36,74.98,955,70786.00,58
BSE,XPROINDIA,INE445C01015,B,1247.35,1247.95,1220.00,1223.60,1234.95,423,521325.00,98
BSE,XTGLOBAL,INE547B01028,B,32.65,32.65,29.50,30.29,29.17,336,9948.00,9
BSE,XTRANET,INE0NG701011,B,303.05,330.00,303.05,312.30,302.60,367657,115824434.00,4823
BSE,YAANENT,INE969E01010,X,132.00,132.00,123.50,127.05,128.85,646,82056.00,16
BSE,YAASHVI,INE1T6L01010,M,72.65,72.65,70.10,71.28,73.75,25600,1838480.00,15
BSE,YAJUR,INE0CNJ01010,MT,39.74,40.19,38.51,40.19,39.45,7200,283664.00,9
BSE,YAMNINV,INE457N01025,XT,0.60,0.60,0.59,0.60,0.59,151512,90316.00,254
BSE,YARNSYN,INE564C01013,X,13.46,13.46,12.74,12.80,13.46,1330,17089.00,19
BSE,YASHCHEM,INE571U01010,X,52.83,52.83,50.00,50.97,49.90,691,35188.00,20
BSE,YASHHTEJ,INE1O6P01016,M,49.21,49.26,49.21,49.26,49.20,3600,177228.00,3
BSE,YASHHV,INE00GK01023,M,1076.00,1099.80,1040.00,1059.20,1080.45,101000,107716875.00,359
BSE,YASHINNO,INE823D01011,X,46.99,46.99,44.00,46.00,44.95,25813,1158538.00,96
BSE,YASHMGM,INE216B01012,X,10.75,10.75,9.87,10.51,10.70,3218,32902.00,30
BSE,YASHO,INE616Z01012,B,4043.30,4060.00,3976.00,4002.10,4007.85,949,3805809.00,192
BSE,YASHRAJC,INE095C01018,XT,4.48,4.64,4.48,4.64,4.48,983,4459.00,13
BSE,YATHARTH,INE0JO301016,A,1099.70,1183.15,1084.20,1140.75,1070.45,458821,516481513.00,13645
BSE,YATRA,INE0JR601024,B,103.55,106.45,103.55,104.50,104.25,35913,3775852.00,444
BSE,YESBANK,INE528G01035,A,23.16,23.36,23.11,23.12,23.15,3513631,81501820.00,26279
BSE,YOGI,INE290E01011,B,161.00,168.95,155.50,163.65,163.95,2177,347330.00,16
BSE,YOGISUNG,INE429B01011,X,6.67,6.67,6.29,6.65,6.67,126,839.00,8
BSE,YORKEXP,INE057Q01018,X,76.00,76.00,68.90,73.89,72.40,2115,147682.00,26
BSE,YSL,INE868X01014,X,26290.10,26290.10,26290.00,26290.00,25505.00,3,78870.00,3
BSE,YUKEN,INE384C01016,B,1112.00,1142.25,1083.65,1138.70,1121.90,1430,1593004.00,262
BSE,YUNIKM,INE143K01019,X,6.10,6.10,5.40,5.75,5.70,347,2013.00,12
BSE,YURANUS,INE156M01017,X,85.01,87.30,85.01,87.30,83.20,219,18846.00,5
BSE,YUVRAAJHPL,INE139D01020,X,9.69,9.69,9.46,9.50,9.50,16431,156262.00,34
BSE,ZAGGLE,INE07K301024,A,180.80,182.25,177.35,178.35,181.70,69225,12433582.00,996
BSE,ZAPPFRESH,INE0SUM01015,M,58.00,58.99,54.02,55.06,58.67,75600,4224648.00,58
