symbol,series,52w_high,52w_high_date,52w_low,52w_low_date
ANJANI$,EQ,-,-,-,-
ANJANIFOO$,BE,-,-,-,-
ANKIN$,EQ,-,-,-,-
ANKITMETAL,BZ,2.12,26-SEP-2025,1.29,30-MAR-2026
ANL$,SM,-,-,-,-
ANLON,SM,748.00,15-JUN-2026,335.00,27-MAR-2026
ANMOL,EQ,17.74,07-NOV-2025,8.40,01-APR-2026
ANNAINFRA$,EQ,-,-,-,-
ANNAPURNA,EQ,287.00,11-NOV-2025,120.75,29-JUL-2026
ANNU,BE,75.60,02-SEP-2026,70.00,02-SEP-2026
ANONDITA,SM,1302.97,05-JUN-2026,314.90,05-SEP-2025
ANSALAPI,BZ,5.30,05-SEP-2025,2.51,13-JUL-2026
ANSALBU,EQ,92.40,01-SEP-2026,70.64,24-AUG-2026
ANSINDUS$,BE,-,-,-,-
ANTELOPUS,EQ,1075.10,03-SEP-2026,357.00,13-JAN-2026
ANTGRAPHIC,EQ,1.17,01-JAN-2026,.64,30-MAR-2026
ANTHEM,EQ,955.00,03-SEP-2026,579.15,02-FEB-2026
ANUBHAV$,SM,-,-,-,-
ANUHPHR,EQ,93.00,28-OCT-2025,67.00,30-MAR-2026
ANUP,EQ,2576.00,19-SEP-2025,1422.30,09-MAR-2026
ANUPAM$,EQ,-,-,-,-
ANURAS,EQ,1415.00,07-MAY-2026,1045.20,30-SEP-2025
ANUROOP$,EQ,-,-,-,-
ANVRDHI$,EQ,-,-,-,-
ANYA,SM,25.45,05-SEP-2025,14.15,25-AUG-2026
ANZEN,IV,132.90,18-AUG-2026,114.00,24-NOV-2025
AOGOLDINAV,EQ,-,-,-,-
AONE50INAV,EQ,-,-,-,-
AONEGOLD,EQ,17.73,29-JAN-2026,10.00,10-SEP-2025
AONELIINAV,EQ,-,-,-,-
AONELIQUID,EQ,1094.59,08-JUN-2026,997.56,06-OCT-2025
AONENFINAV,EQ,-,-,-,-
AONENIFTY,EQ,12.00,13-AUG-2026,9.00,15-APR-2026
AONESIINAV,EQ,-,-,-,-
AONESILVER,EQ,12.00,02-MAR-2026,7.43,23-JUL-2026
AONETMMQ50,EQ,10.87,25-MAY-2026,8.00,04-MAR-2026
AONETOINAV,EQ,-,-,-,-
AONETOTAL,EQ,12.51,06-JAN-2026,9.60,06-APR-2026
APARINDS,EQ,18465.00,12-AUG-2026,6801.00,21-JAN-2026
APCL,EQ,148.78,03-FEB-2026,98.02,13-AUG-2026
APCOTEXIND,EQ,712.00,30-JUL-2026,310.45,30-MAR-2026
APEX,EQ,514.50,21-APR-2026,215.43,05-SEP-2025
APEXECO,ST,297.15,14-AUG-2026,102.05,10-NOV-2025
APIS$,EQ,-,-,-,-
APL$,ST,-,-,-,-
APLAB$,EQ,-,-,-,-
APLAPOLLO,EQ,2301.40,12-FEB-2026,1645.10,03-SEP-2025
APLLTD,EQ,998.00,04-NOV-2025,635.80,23-MAR-2026
APMIN$,EQ,-,-,-,-
APOLLO,EQ,466.50,03-JUL-2026,179.50,30-MAR-2026
APOLLOFI$,EQ,-,-,-,-
APOLLOHOSP,EQ,9050.00,04-AUG-2026,6696.50,23-JAN-2026
APOLLOIN$,BE,-,-,-,-
APOLLOPIPE,EQ,668.80,25-AUG-2026,252.10,21-JAN-2026
APOLLOTYRE,EQ,540.50,14-NOV-2025,365.30,20-MAY-2026
APOLSINHOT,EQ,1479.00,04-SEP-2025,950.00,30-MAR-2026
APOORVA,EQ,28.05,20-AUG-2026,25.25,02-SEP-2026
APRAMEYA,SM,360.00,21-NOV-2025,114.25,18-AUG-2026
APS,SM,543.95,24-OCT-2025,228.00,18-AUG-2026
APSISAERO,ST,599.35,03-SEP-2026,147.20,18-MAR-2026
APTECHT,BE,137.30,04-SEP-2025,69.10,30-MAR-2026
APTPACK$,EQ,-,-,-,-
APTUS,EQ,353.25,09-SEP-2025,193.03,30-MAR-2026
AQYLON,EQ,224.70,21-JAN-2026,19.66,03-SEP-2026
ARABIAN,SM,94.30,06-AUG-2026,63.20,23-JUN-2026
ARCEEIN$,BE,-,-,-,-
ARCFIN$,EQ,-,-,-,-
ARCHIDPLY,EQ,124.78,25-AUG-2026,60.00,30-MAR-2026
ARCHIES,EQ,24.38,24-SEP-2025,10.86,30-MAR-2026
ARCHITORG$,BE,-,-,-,-
ARCIIL,SM,125.00,04-SEP-2025,34.50,13-AUG-2026
ARCL,EQ,249.68,17-AUG-2026,220.15,26-AUG-2026
ARDEE,EQ,73.19,12-AUG-2026,54.48,03-SEP-2026
ARE&M,EQ,1057.85,16-SEP-2025,670.00,30-MAR-2026
ARENTERP,EQ,60.79,01-DEC-2025,30.01,30-MAR-2026
AREXMIS$,EQ,-,-,-,-
ARFIN,EQ,106.20,12-MAY-2026,33.47,03-SEP-2025
ARHAM,SM,223.75,31-AUG-2026,93.55,09-SEP-2025
ARIES,EQ,517.90,26-AUG-2026,285.35,20-JAN-2026
ARIGATO$,EQ,-,-,-,-
ARIHANT,EQ,1225.00,29-JUL-2026,715.10,01-JUN-2026
ARIHANTACA,SM,555.00,30-MAR-2026,375.00,03-SEP-2025
ARIHANTCAP,EQ,120.00,24-OCT-2025,56.97,30-MAR-2026
ARIHANTSUP,EQ,465.00,07-OCT-2025,188.80,30-MAR-2026
ARIS,EQ,178.30,23-OCT-2025,82.18,09-FEB-2026
ARISE$,EQ,-,-,-,-
ARISTO,SM,140.00,15-SEP-2025,74.30,02-APR-2026
ARITAS$,SM,-,-,-,-
ARKADE,EQ,188.25,03-SEP-2025,92.62,30-MAR-2026
ARL$,EQ,-,-,-,-
ARMAN$,EQ,-,-,-,-
ARMANFIN,EQ,2158.60,13-AUG-2026,1301.00,09-MAR-2026
ARMOUR,ST,45.60,22-JAN-2026,17.10,31-JUL-2026
ARNOLD$,EQ,-,-,-,-
AROGRANITE,EQ,45.63,19-SEP-2025,18.67,30-MAR-2026
ARROWGREEN,BE,821.60,14-AUG-2026,341.95,16-MAR-2026
ARROWHEAD$,SM,-,-,-,-
ARSHIYA,BZ,2.19,15-SEP-2025,.68,03-SEP-2026
ARSSBL,EQ,794.85,18-NOV-2025,416.00,30-MAR-2026
ARTEFACT$,EQ,-,-,-,-
ARTEMISAD$,ST,-,-,-,-
ARTEMISMED,EQ,335.00,01-SEP-2026,203.35,30-MAR-2026
ARTNIRMAN,EQ,66.97,27-OCT-2025,29.39,30-MAR-2026
ARTSON$,EQ,-,-,-,-
ARUNAHTEL$,EQ,-,-,-,-
ARUNAYA,SM,31.45,14-MAY-2026,13.90,03-SEP-2026
ARVAYA$,BE,-,-,-,-
ARVEE,EQ,290.78,19-DEC-2025,129.11,30-MAR-2026
ARVIND,EQ,600.00,30-JUN-2026,277.90,13-OCT-2025
ARVINDFASN,EQ,579.00,17-SEP-2025,366.20,30-MAR-2026
ARVINDPORT,SM,71.25,31-OCT-2025,24.40,15-JUN-2026
ARVSMART,EQ,707.85,24-AUG-2026,486.80,09-MAR-2026
ARYACAPM$,EQ,-,-,-,-
ARYAMAN,EQ,674.95,28-AUG-2026,570.00,20-AUG-2026
ASAHIINDIA,EQ,1074.00,01-DEC-2025,775.10,24-MAR-2026
ASAHISONG,BE,413.95,03-AUG-2026,179.64,13-MAR-2026
ASAL,EQ,654.65,26-SEP-2025,374.50,30-MAR-2026
ASALCBR,EQ,1277.00,03-NOV-2025,660.65,30-MAR-2026
ASARFI$,SM,-,-,-,-
ASCENSIVE$,SM,-,-,-,-
ASCOM,SM,285.00,24-APR-2026,90.00,22-SEP-2025
ASGARD$,EQ,-,-,-,-
ASHALOG,SM,92.60,16-SEP-2025,49.60,01-JUL-2026
ASHAPURMIN,EQ,924.90,07-JAN-2026,455.10,30-MAR-2026
ASHCAP$,EQ,-,-,-,-
ASHIANA,EQ,435.90,21-JUL-2026,269.45,11-NOV-2025
ASHIKAG,BE,520.95,03-AUG-2026,339.95,01-JUN-2026
ASHIMASYN,EQ,26.00,19-SEP-2025,11.50,27-MAR-2026
ASHISHPO$,EQ,-,-,-,-
ASHNI$,BE,-,-,-,-
ASHNOOR$,EQ,-,-,-,-
ASHOKA,EQ,214.50,04-NOV-2025,101.00,30-MAR-2026
ASHOKAMET,EQ,21.00,19-SEP-2025,12.13,30-MAR-2026
ASHOKLEY,EQ,215.42,11-FEB-2026,126.54,04-SEP-2025
ASHSI$,EQ,-,-,-,-
ASHWINI,SM,219.90,22-JUL-2026,120.00,20-FEB-2026
ASIAN$,EQ,-,-,-,-
ASIANENE,EQ,528.40,03-SEP-2026,230.00,22-JAN-2026
ASIANHOTNR,EQ,402.55,07-JUL-2026,247.50,13-FEB-2026
ASIANPAINT,EQ,2985.70,04-DEC-2025,2115.00,23-MAR-2026
ASIANTILES,EQ,79.06,21-APR-2026,42.50,22-JUL-2026
ASIANTNE,EQ,10.99,31-AUG-2026,8.64,17-AUG-2026
ASIAPAK$,EQ,-,-,-,-
ASIIL$,EQ,-,-,-,-
ASINPET$,EQ,-,-,-,-
ASITCFIN$,EQ,-,-,-,-
ASKAUTOLTD,EQ,687.70,06-AUG-2026,375.30,09-MAR-2026
ASMS,BE,17.60,09-SEP-2025,6.66,31-AUG-2026
ASMTEC$,EQ,-,-,-,-
ASPINWALL,EQ,299.80,01-JAN-2026,200.25,23-MAR-2026
ASPIRA$,BE,-,-,-,-
ASPIRE,SM,27.00,08-SEP-2025,10.20,30-MAR-2026
ASRL$,EQ,-,-,-,-
ASSAMENT,EQ,857.75,01-SEP-2026,705.00,28-AUG-2026
ASSOCER$,EQ,-,-,-,-
ASSOCIATE$,SM,-,-,-,-
ASTALLTD$,EQ,-,-,-,-
ASTAR,EQ,723.00,13-MAY-2026,525.50,17-JUL-2026
ASTEC,EQ,941.75,26-NOV-2025,513.40,23-MAR-2026
ASTERDM,EQ,891.30,10-AUG-2026,519.10,04-FEB-2026
ASTONEALA$,ST,-,-,-,-
ASTRAL,EQ,1768.70,11-MAR-2026,1311.60,09-JUL-2026
ASTRAMICRO,EQ,1960.00,31-JUL-2026,851.00,30-MAR-2026
ASTRAZEN,EQ,9849.50,03-NOV-2025,6835.00,02-SEP-2026
ASTRON,BZ,18.89,08-SEP-2025,2.89,25-AUG-2026
ASTRONMUL$,SM,-,-,-,-
ATALREAL,EQ,36.70,14-AUG-2026,18.55,12-SEP-2025
ATAM,EQ,111.00,03-NOV-2025,48.50,30-MAR-2026
ATCENERGY,ST,67.80,03-SEP-2025,19.35,19-MAR-2026
ATENPAPER$,SM,-,-,-,-
ATGL,EQ,859.85,29-MAY-2026,462.80,09-MAR-2026
ATHCON$,SM,-,-,-,-
ATHERENERG,EQ,1744.00,01-SEP-2026,485.00,04-SEP-2025
ATIL$,SM,-,-,-,-
ATISHAY$,EQ,-,-,-,-
ATL,EQ,37.86,25-SEP-2025,18.20,30-MAR-2026
ATLANTAA,EQ,73.39,07-OCT-2025,31.52,30-MAR-2026
ATLANTAELE,EQ,2152.60,04-JUN-2026,707.60,27-JAN-2026
ATLASCYCLE,EQ,134.98,04-SEP-2025,76.15,23-MAR-2026
ATMASTCO,SM,242.50,03-SEP-2025,98.00,30-MAR-2026
ATUL,EQ,7180.00,07-MAY-2026,5560.50,21-JAN-2026
ATULAUTO,EQ,596.55,05-AUG-2026,380.05,30-MAR-2026
ATVOENT$,EQ,-,-,-,-
ATVPR$,EQ,-,-,-,-
AUBANK,EQ,1144.10,25-AUG-2026,682.15,05-SEP-2025
AUDROC$,BE,-,-,-,-
AUGMONT,EQ,1019.80,31-AUG-2026,851.00,01-SEP-2026
AUREATE$,SM,-,-,-,-
AURIONPRO,EQ,1334.80,04-SEP-2025,680.15,20-AUG-2026
AURIQUE$,EQ,-,-,-,-
AUROIMPEX,SM,53.95,24-SEP-2025,21.25,30-MAR-2026
AUROLAB$,EQ,-,-,-,-
AUROPHARMA,EQ,1717.00,31-AUG-2026,1021.00,03-SEP-2025
AURUM,EQ,264.64,15-JUL-2026,151.90,30-MAR-2026
AURUS,EQ,7.49,16-SEP-2025,4.10,30-MAR-2026
AUSL,SM,40.65,04-SEP-2025,17.35,30-MAR-2026
AUSOMENT,EQ,178.00,19-JAN-2026,93.00,07-OCT-2025
AUSTENG,EQ,134.00,27-AUG-2026,110.00,18-AUG-2026
AUSTERE$,SM,-,-,-,-
AUTOAXLES,EQ,2115.00,04-FEB-2026,1540.20,30-MAR-2026
AUTOBEES,EQ,310.45,10-AUG-2026,242.50,02-APR-2026
AUTOIETF,EQ,31.46,10-AUG-2026,24.20,02-APR-2026
AUTOIND,EQ,104.00,13-AUG-2026,48.35,30-MAR-2026
AUTOINT$,EQ,-,-,-,-
AUTOPINS$,EQ,-,-,-,-
