symbol,series,52w_high,52w_high_date,52w_low,52w_low_date
INNOVATIV$,SM,-,-,-,-
INNOVATOR$,SM,-,-,-,-
INNOVISION,EQ,470.00,23-MAR-2026,246.20,28-AUG-2026
INNOVTEC$,EQ,-,-,-,-
INOVSYNTH$,BE,-,-,-,-
INOXGREEN,EQ,279.00,03-NOV-2025,132.58,23-MAR-2026
INOXINDIA,EQ,2320.00,04-SEP-2026,1068.20,27-JAN-2026
INOXWIND,EQ,159.30,29-OCT-2025,68.00,02-SEP-2026
INSECTICID,EQ,819.95,08-SEP-2025,518.60,30-MAR-2026
INSETFINAV,EQ,-,-,-,-
INSPIRE,SM,20.50,08-SEP-2025,6.80,30-MAR-2026
INSPIRISYS,EQ,133.90,01-JUN-2026,69.92,30-MAR-2026
INSUREIETF,EQ,16.46,06-AUG-2026,15.00,03-SEP-2026
INTECCAP$,BE,-,-,-,-
INTEGRAEN$,EQ,-,-,-,-
INTEGRITY,SM,175.35,27-MAY-2026,100.05,26-SEP-2025
INTEGSW$,BE,-,-,-,-
INTELLECT,EQ,1244.60,03-NOV-2025,595.20,30-MAR-2026
INTENTECH,EQ,149.90,23-SEP-2025,66.30,30-MAR-2026
INTERARCH,EQ,2762.60,10-NOV-2025,1600.00,18-MAY-2026
INTERDIGI$,BE,-,-,-,-
INTERISE,IV,109.75,16-SEP-2025,109.75,16-SEP-2025
INTERNET,EQ,15.45,24-AUG-2026,10.72,16-MAR-2026
INTERNINAV,EQ,-,-,-,-
INTETHR$,BE,-,-,-,-
INTLCOMBQ$,EQ,-,-,-,-
INTLCONV,EQ,114.54,07-OCT-2025,60.00,30-MAR-2026
INTRGLB$,EQ,-,-,-,-
INTSTOIL$,EQ,-,-,-,-
INVENTURE,EQ,1.68,18-SEP-2025,.72,20-AUG-2026
INVICTA,SM,105.00,08-DEC-2025,58.10,05-MAR-2026
INVPRECQ,BE,1358.00,20-AUG-2026,551.00,05-MAY-2026
IOB,EQ,41.80,23-OCT-2025,31.20,30-MAR-2026
IOC,EQ,188.96,27-FEB-2026,130.22,02-APR-2026
IOLCP,EQ,217.50,07-SEP-2026,67.19,16-MAR-2026
IONEXCHANG,EQ,486.00,13-JUL-2026,312.70,23-MAR-2026
IPCALAB,EQ,2001.50,02-SEP-2026,1251.60,24-OCT-2025
IPHL,SM,84.25,29-JUL-2026,46.10,11-NOV-2025
IPL,EQ,240.25,18-SEP-2025,125.00,30-MAR-2026
IPOWER$,BE,-,-,-,-
IPRINGLTD,EQ,187.00,01-SEP-2026,124.50,17-AUG-2026
IPSL,SM,385.00,17-SEP-2025,172.05,27-MAR-2026
IRB,EQ,23.95,21-MAY-2026,18.76,25-AUG-2026
IRBINVIT,IV,65.00,31-AUG-2026,57.05,23-MAR-2026
IRBIT,IV,-,-,-,-
IRCON,EQ,189.50,17-SEP-2025,114.50,23-MAR-2026
IRCTC,EQ,739.00,19-SEP-2025,470.70,02-SEP-2026
IREDA,EQ,163.35,22-SEP-2025,108.65,30-MAR-2026
IRFC,EQ,137.17,29-DEC-2025,81.30,02-SEP-2026
IRIS,EQ,388.10,10-NOV-2025,203.00,02-MAR-2026
IRISDOREME,EQ,65.00,07-SEP-2026,26.35,30-MAR-2026
IRMENERGY,EQ,393.00,23-SEP-2025,165.40,30-MAR-2026
IRONWOOD$,EQ,-,-,-,-
ISERA$,BE,-,-,-,-
ISFT,EQ,119.07,19-SEP-2025,54.05,30-MAR-2026
ISGEC,EQ,1113.90,21-MAY-2026,683.95,27-JAN-2026
ISHAN,SM,.95,25-SEP-2025,.45,21-AUG-2026
ISHANCH,EQ,83.37,13-OCT-2025,41.71,26-AUG-2026
ISHITADR$,EQ,-,-,-,-
ISHWATR$,BE,-,-,-,-
ISLCONSUL$,EQ,-,-,-,-
ISTLTD,EQ,749.95,20-AUG-2026,605.00,01-SEP-2026
ISTRNETWK$,EQ,-,-,-,-
IT,EQ,44.49,03-FEB-2026,28.54,01-JUL-2026
ITADD,EQ,41.92,03-FEB-2026,27.17,01-JUL-2026
ITALIANE,SM,49.00,02-MAR-2026,24.05,29-JAN-2026
ITAXIS,EQ,439.67,24-DEC-2025,230.70,03-JUL-2026
ITBEES,EQ,44.27,03-FEB-2026,28.55,01-JUL-2026
ITBEESINAV,EQ,-,-,-,-
ITBETA,EQ,409.94,24-DEC-2025,270.68,01-JUL-2026
ITC,EQ,426.40,31-OCT-2025,255.50,31-AUG-2026
