symbol,series,52w_high,52w_high_date,52w_low,52w_low_date
1STCUS$,EQ,-,-,-,-
20MICRONS,EQ,238.01,04-SEP-2025,129.61,30-MAR-2026
21STCENMGM,EQ,55.15,04-SEP-2025,28.25,06-APR-2026
360ONE,EQ,1236.20,16-JAN-2026,906.05,07-APR-2026
3BBLACKBIO,EQ,1588.90,02-SEP-2026,1085.00,02-JUN-2026
3BFILMS$,SM,-,-,-,-
3CIT$,SM,-,-,-,-
3IINFOLTD,BE,27.80,12-AUG-2026,12.68,16-MAR-2026
3MINDIA,EQ,38030.00,10-FEB-2026,28730.00,02-APR-2026
3PLAND,EQ,47.50,11-SEP-2025,28.51,30-MAR-2026
5PAISA,EQ,416.95,19-AUG-2026,245.50,30-MAR-2026
63MOONS,EQ,1007.70,09-SEP-2025,467.00,30-MAR-2026
7NR$,BE,-,-,-,-
7SEASL$,EQ,-,-,-,-
7TEC$,EQ,-,-,-,-
A1L$,EQ,-,-,-,-
A2ZINFRA,EQ,22.64,04-SEP-2025,12.00,28-JUL-2026
AAATECH,EQ,136.00,07-OCT-2025,76.11,26-SEP-2025
AADHARHFC,EQ,563.00,06-JUL-2026,430.15,02-MAR-2026
AAIL$,BE,-,-,-,-
AAKAAR,SM,96.00,23-SEP-2025,46.00,27-MAR-2026
AAKASH,EQ,13.40,06-MAR-2026,7.21,30-JAN-2026
AANCHALIS$,BE,-,-,-,-
AAPLUSTRA$,SM,-,-,-,-
AARADHYA,SM,182.00,13-OCT-2025,64.20,25-AUG-2026
AARCON$,BE,-,-,-,-
AAREYDRUGS,EQ,100.00,06-NOV-2025,50.31,30-MAR-2026
AARNAV,BE,37.40,17-JUL-2026,21.00,30-MAR-2026
AARON,EQ,228.00,28-OCT-2025,106.80,30-MAR-2026
AARTECH,BE,64.75,24-OCT-2025,33.51,30-MAR-2026
AARTIDRUGS,EQ,534.55,19-SEP-2025,318.95,30-MAR-2026
AARTIIND,EQ,551.75,25-AUG-2026,338.05,21-JAN-2026
AARTIPHARM,EQ,946.10,16-SEP-2025,585.00,30-MAR-2026
