symbol,series,52w_high,52w_high_date,52w_low,52w_low_date
TRUECOLOR$,SM,-,-,-,-
TRUST,SM,77.00,09-OCT-2025,23.80,24-AUG-2026
TRUSTEDGE$,EQ,-,-,-,-
TRUSTWAVE$,BE,-,-,-,-
TSC,ST,68.70,26-SEP-2025,25.25,15-JUN-2026
TSFINV,EQ,701.50,14-OCT-2025,331.70,30-MAR-2026
TSPIRITUA$,EQ,-,-,-,-
TTC$,SM,-,-,-,-
TTFL$,EQ,-,-,-,-
TTGIL$,EQ,-,-,-,-
TTIENT$,EQ,-,-,-,-
TTKHLTCARE,EQ,1247.00,09-SEP-2026,735.00,30-MAR-2026
TTKPRESTIG,EQ,771.20,28-OCT-2025,423.00,30-MAR-2026
TTL,EQ,11.25,24-SEP-2025,5.50,11-AUG-2026
TTML,EQ,60.08,07-OCT-2025,31.22,30-MAR-2026
TUNITEX$,BE,-,-,-,-
TUNWAL,SM,49.80,01-DEC-2025,24.30,10-SEP-2026
TURTLEMINT,EQ,160.00,28-AUG-2026,109.04,24-SEP-2026
TUSALDAH$,EQ,-,-,-,-
TUTIALKA,EQ,62.90,04-SEP-2026,52.00,19-AUG-2026
TVOLCON$,BE,-,-,-,-
TVSELECT,EQ,739.35,27-OCT-2025,336.20,05-MAR-2026
TVSHLTD,EQ,16297.00,18-NOV-2025,12185.00,24-SEP-2026
TVSINVIT,IV,119.00,25-AUG-2026,103.00,25-SEP-2025
TVSMOTOR,EQ,4484.50,26-AUG-2026,3228.00,19-MAY-2026
TVSSCS,EQ,146.50,10-JUL-2026,90.32,30-MAR-2026
TVSSRICHAK,EQ,5760.00,01-SEP-2026,3135.00,01-OCT-2025
TVTODAY,EQ,153.01,06-OCT-2025,93.50,23-MAR-2026
TVVISION,BE,12.40,19-DEC-2025,2.39,17-SEP-2026
TWCGOLDETF,EQ,187.98,29-JAN-2026,123.31,23-MAR-2026
TWIROST$,BE,-,-,-,-
TYCHE$,EQ,-,-,-,-
TYROON$,EQ,-,-,-,-
UBL,EQ,1844.00,29-OCT-2025,1210.40,22-SEP-2026
UCAL,BE,163.80,28-AUG-2026,77.00,30-MAR-2026
UCL,ST,260.00,14-AUG-2026,39.45,25-NOV-2025
UCOBANK,EQ,34.20,31-OCT-2025,22.22,30-MAR-2026
UDAYJEW,EQ,180.89,10-SEP-2026,115.04,20-AUG-2026
UDS,EQ,262.85,03-OCT-2025,125.10,30-MAR-2026
UEL,EQ,284.20,11-AUG-2026,92.32,29-SEP-2025
UFBL,BE,850.00,24-AUG-2026,172.34,30-JAN-2026
UFLEX,EQ,723.50,02-SEP-2026,330.00,30-MAR-2026
UFO,EQ,92.97,20-NOV-2025,53.75,30-MAR-2026
UGARSUGAR,EQ,62.10,24-AUG-2026,33.75,27-FEB-2026
UGROCAP,EQ,192.50,06-OCT-2025,80.12,30-MAR-2026
UHMVL$,SM,-,-,-,-
UHTL,ST,203.65,24-SEP-2026,44.00,30-MAR-2026
UHZAVERI$,EQ,-,-,-,-
UJJIVANSFB,EQ,73.94,20-AUG-2026,43.85,26-SEP-2025
ULTRACAB$,EQ,-,-,-,-
ULTRACEMCO,EQ,13110.00,10-FEB-2026,10325.00,23-MAR-2026
ULTRAMAR,EQ,455.75,07-AUG-2026,364.10,18-JUN-2026
UMA,SM,24.30,04-NOV-2025,14.40,11-AUG-2026
