symbol,series,52w_high,52w_high_date,52w_low,52w_low_date
STRIDERS,SM,82.00,30-APR-2026,49.00,18-JUN-2026
STUDDS,EQ,600.00,18-NOV-2025,412.30,11-AUG-2026
STUDIOLSD,SM,27.95,15-SEP-2025,7.15,30-MAR-2026
STURDY$,BE,-,-,-,-
STYL,EQ,437.45,30-SEP-2025,209.11,30-MAR-2026
STYLAMIND,EQ,4150.00,22-JUL-2026,1621.00,29-SEP-2025
STYLEBAAZA,EQ,447.10,21-AUG-2026,229.95,23-MAR-2026
STYRENIX,EQ,2690.00,08-SEP-2025,1780.00,30-MAR-2026
SUBAHOTELS,SM,200.00,23-OCT-2025,93.00,07-SEP-2026
SUBAM$,SM,-,-,-,-
SUBEXLTD,EQ,19.58,08-SEP-2026,6.61,30-MAR-2026
SUBROS,EQ,1213.70,29-SEP-2025,622.10,30-MAR-2026
SUBSM$,EQ,-,-,-,-
SUCROSA$,BE,-,-,-,-
SUDAI$,EQ,-,-,-,-
SUDARCOLOR,EQ,603.00,15-SEP-2025,268.25,30-MAR-2026
SUDARSCHEM,EQ,1603.00,24-SEP-2025,726.40,30-MAR-2026
SUDARSHAN$,SM,-,-,-,-
SUDEEPPHRM,EQ,1378.00,07-SEP-2026,524.05,21-JAN-2026
SUDTIND-B$,EQ,-,-,-,-
SUGALDAM$,EQ,-,-,-,-
SUGSLLOYD$,SM,-,-,-,-
SUJALA$,EQ,-,-,-,-
SUKHJITS,EQ,231.10,27-FEB-2026,137.30,30-MAR-2026
SULA,EQ,296.80,10-SEP-2025,138.60,30-MAR-2026
SULABEN$,EQ,-,-,-,-
SUMAX,ST,116.00,02-SEP-2026,101.20,07-SEP-2026
SUMEDHA,EQ,47.00,17-AUG-2026,36.60,18-AUG-2026
SUMEETINDS,EQ,35.67,20-JUL-2026,11.09,02-SEP-2026
SUMERUIND$,EQ,-,-,-,-
SUMICHEM,EQ,617.45,19-SEP-2025,362.60,30-MAR-2026
SUMIT,EQ,104.00,06-OCT-2025,31.74,12-MAR-2026
SUMMITSEC,EQ,2495.00,23-OCT-2025,1312.00,30-MAR-2026
SUNCLAY,EQ,1942.00,19-SEP-2025,1112.80,27-JAN-2026
SUNDARAM,EQ,2.20,16-OCT-2025,1.03,14-AUG-2026
SUNDARMFIN,EQ,5642.00,04-MAR-2026,4000.00,08-JUN-2026
SUNDRMBRAK,BE,920.00,17-AUG-2026,460.00,30-MAR-2026
SUNDRMFAST,EQ,1278.00,08-SEP-2026,730.10,02-APR-2026
SUNDROP,EQ,883.45,09-SEP-2025,556.00,30-MAR-2026
SUNFLAG,EQ,428.00,07-MAY-2026,192.15,30-MAR-2026
SUNILAGR$,EQ,-,-,-,-
SUNILTX$,BE,-,-,-,-
SUNITATOO$,ST,-,-,-,-
SUNLITE,SM,583.55,27-APR-2026,156.10,09-SEP-2025
SUNLOC,EQ,82.00,01-SEP-2026,67.50,20-AUG-2026
SUNPHARMA,EQ,2046.90,31-JUL-2026,1548.00,26-SEP-2025
SUNRAJDI$,BE,-,-,-,-
SUNRAKSHAK,EQ,382.40,19-AUG-2026,361.05,08-SEP-2026
SUNREST,SM,45.06,25-NOV-2025,24.66,21-JAN-2026
SUNRETAIL$,SM,-,-,-,-
SUNRINV$,BE,-,-,-,-
SUNSHIEL,EQ,1284.80,08-SEP-2026,1130.00,31-AUG-2026
SUNSHINE,EQ,495.90,08-SEP-2026,363.60,26-AUG-2026
SUNSKY$,SM,-,-,-,-
SUNTECH,SM,66.00,12-SEP-2025,28.70,22-JUL-2026
SUNTECK,EQ,473.00,08-SEP-2025,270.75,30-MAR-2026
SUNTV,EQ,660.70,20-APR-2026,449.00,08-SEP-2026
SUPER$,BE,-,-,-,-
SUPERHOUSE,EQ,201.95,18-SEP-2025,128.55,23-MAR-2026
SUPERIRON$,SM,-,-,-,-
SUPERSHAK$,SM,-,-,-,-
SUPERSPIN,BE,9.99,08-SEP-2025,3.79,30-MAR-2026
SUPHA$,BE,-,-,-,-
SUPRAJIT,EQ,559.25,10-AUG-2026,389.95,16-MAR-2026
SUPRAPFSL$,EQ,-,-,-,-
SUPRATRE$,EQ,-,-,-,-
SUPREME,EQ,97.84,13-OCT-2025,36.00,07-SEP-2026
SUPREMEENG,BZ,3.15,08-SEP-2026,.68,11-NOV-2025
SUPREMEIND,EQ,4632.00,16-SEP-2025,3140.00,08-JUL-2026
SUPREMEINF,EQ,113.00,17-SEP-2025,58.11,02-APR-2026
SUPREMEPWR,SM,291.35,06-MAY-2026,130.55,24-FEB-2026
SUPRIYA,EQ,1085.00,01-JUN-2026,545.50,24-MAR-2026
SUPTANERY,BE,16.21,02-SEP-2026,6.81,17-AUG-2026
SURAJ$,BE,-,-,-,-
SURAJEST,EQ,319.00,28-OCT-2025,171.30,30-MAR-2026
SURAJLTD,EQ,348.65,20-OCT-2025,192.00,20-AUG-2026
