symbol,series,52w_high,52w_high_date,52w_low,52w_low_date
SIMPLEXINF,EQ,330.00,16-SEP-2025,137.00,30-MAR-2026
SIMPLXREA,EQ,149.98,07-SEP-2026,116.10,21-AUG-2026
SIMRAN$,EQ,-,-,-,-
SINCLAIR,EQ,112.48,17-SEP-2025,68.82,16-MAR-2026
SINDHUTRAD,EQ,32.74,18-SEP-2025,17.64,27-JAN-2026
SINGERIND,EQ,91.30,12-AUG-2026,57.15,30-MAR-2026
SINNAR$,BE,-,-,-,-
SINTERCOM,EQ,130.00,06-OCT-2025,62.99,30-MAR-2026
SIRCA,EQ,539.00,19-NOV-2025,385.00,17-JUL-2026
SIROHIA$,SM,-,-,-,-
SIS,EQ,480.95,24-JUN-2026,257.05,23-MAR-2026
SISL$,ST,-,-,-,-
SITAENT$,EQ,-,-,-,-
SITINET,BZ,.50,25-SEP-2025,.27,16-SEP-2026
SIYARAM$,SM,-,-,-,-
SIYSIL,EQ,848.80,04-NOV-2025,433.35,30-MAR-2026
SIZEMASTE$,EQ,-,-,-,-
SJLOGISTIC,SM,459.00,24-NOV-2025,225.35,30-MAR-2026
SJS,EQ,2590.00,06-AUG-2026,1417.30,16-SEP-2025
SJVN,EQ,95.55,16-SEP-2025,63.02,30-MAR-2026
SKCIL$,EQ,-,-,-,-
SKFINDIA,EQ,5074.00,14-OCT-2025,1404.00,30-MAR-2026
SKFINDUS,EQ,3131.00,03-SEP-2026,1994.10,13-MAY-2026
SKIEL$,ST,-,-,-,-
SKIFL$,SM,-,-,-,-
SKIPPER,EQ,616.80,09-SEP-2026,327.05,09-MAR-2026
SKL$,ST,-,-,-,-
SKM$,ST,-,-,-,-
SKMEGGPROD,EQ,372.00,13-JUL-2026,143.10,09-MAR-2026
SKP,SM,238.00,23-SEP-2025,137.00,30-MAR-2026
SKPMIL$,BE,-,-,-,-
SKPSEC$,EQ,-,-,-,-
SKRABUL$,EQ,-,-,-,-
SKYBIOTEC$,EQ,-,-,-,-
SKYGOLD,EQ,868.80,26-AUG-2026,259.00,30-SEP-2025
SKYIND$,EQ,-,-,-,-
SKYLMILAR$,EQ,-,-,-,-
SKYTECH,SM,74.00,21-AUG-2026,25.25,16-SEP-2026
SKYWAYS,EQ,136.45,01-SEP-2026,106.82,08-SEP-2026
SLONE,ST,371.45,27-OCT-2025,110.00,19-JUN-2026
SMAADDINAV,EQ,-,-,-,-
SMACAPINAV,EQ,-,-,-,-
SMAETFINAV,EQ,-,-,-,-
SMALL250,EQ,19.95,15-JUN-2026,14.16,23-MAR-2026
SMALLADD,EQ,19.50,11-AUG-2026,14.01,27-MAR-2026
SMALLCAP,EQ,54.50,23-OCT-2025,37.34,23-MAR-2026
SMALLGINAV,EQ,-,-,-,-
SMALLGROWW,EQ,50.84,27-AUG-2026,39.41,04-SEP-2026
SMALLIETF,EQ,19.49,14-AUG-2026,17.43,24-JUL-2026
SMARITIME$,SM,-,-,-,-
SMARTEN,ST,104.80,24-SEP-2025,42.00,30-MAR-2026
SMARTFIN$,EQ,-,-,-,-
SMARTLINK,BE,241.81,15-SEP-2026,103.50,30-MAR-2026
SMARTWORKS,EQ,619.00,04-NOV-2025,361.50,30-MAR-2026
SMAUTO$,SM,-,-,-,-
SMCGLOBAL,EQ,95.00,10-SEP-2026,54.44,30-MAR-2026
SMEL$,ST,-,-,-,-
SMFIL$,BE,-,-,-,-
SMGOLD$,EQ,-,-,-,-
SML100CASE,EQ,11.77,07-SEP-2026,8.50,23-MAR-2026
SML100INAV,EQ,-,-,-,-
SMLMAH,EQ,6654.00,15-SEP-2026,2719.00,21-OCT-2025
SMLT,EQ,121.00,04-NOV-2025,56.61,30-MAR-2026
SMR$,SM,-,-,-,-
SMRUTHIOR$,EQ,-,-,-,-
SMSPHARMA,EQ,482.00,15-SEP-2026,242.25,30-SEP-2025
SMTEL$,EQ,-,-,-,-
SMVD,SM,17.05,24-AUG-2026,5.60,23-OCT-2025
SNEHAA,SM,118.00,19-SEP-2025,35.50,30-MAR-2026
SNIM$,EQ,-,-,-,-
SNL$,EQ,-,-,-,-
SNOWMAN,EQ,59.30,16-SEP-2025,30.50,30-MAR-2026
SNXT30BEES,EQ,44.56,19-AUG-2026,36.83,30-MAR-2026
SNXT30INAV,EQ,-,-,-,-
SNXT50BETA,EQ,102.25,17-SEP-2025,77.11,10-AUG-2026
