exchange,symbol,isin,series,open,high,low,close,prev_close,volume,value,trades
NSE,KIRANVYPAR,INE555P01013,EQ,203.41,208.99,191.00,201.15,203.41,3929,786270.56,160
NSE,KIRIINDUS,INE415I01015,EQ,563.00,570.00,552.15,557.50,559.90,631430,353238656.60,13082
NSE,KIRLFER,INE884B01025,EQ,476.45,485.00,476.45,483.20,478.20,146189,70606870.10,7737
NSE,KIRLOSBROS,INE732A01036,EQ,1768.40,1790.50,1755.80,1771.90,1768.40,22399,39649852.40,3889
NSE,KIRLOSENG,INE146L01010,EQ,2164.00,2189.20,2125.10,2137.20,2164.50,166543,358461019.60,18762
NSE,KIRLOSIND,INE250A01039,EQ,3635.00,3649.10,3556.00,3597.50,3635.00,5403,19431794.50,1366
NSE,KIRLPNU,INE811A01038,EQ,699.80,699.80,685.50,691.95,697.75,72155,49900029.65,5898
NSE,KISSHT,INE12F801023,EQ,337.00,349.95,332.70,348.40,337.30,1179779,405624041.00,34560
NSE,KITEX,INE602G01020,EQ,116.25,119.06,114.49,117.68,118.65,551363,64177193.48,6248
NSE,KJMCFIN,INE533C01018,EQ,60.05,60.05,60.05,60.05,59.84,56,3362.80,3
NSE,KKCL,INE401H01017,EQ,472.00,476.55,465.00,467.85,469.30,67003,31492893.30,1515
NSE,KLBRENG-B,INE338F01015,EQ,517.90,527.20,516.10,521.75,517.90,87220,45528508.65,3549
NSE,KMCSHIL,INE879K01018,EQ,157.92,159.11,154.01,156.23,157.92,138169,21524556.51,3368
NSE,KMEW,INE0CJD01029,EQ,2905.00,2924.70,2852.00,2865.10,2890.60,31064,89530590.80,6674
NSE,KMSUGAR,INE157H01023,EQ,29.20,33.02,29.20,32.46,29.06,1179803,37741997.66,8320
NSE,KNACK,INE17QZ01016,EQ,181.94,188.00,178.10,181.98,182.25,325182,58777819.72,6338
NSE,KNAGRI,INE0KNW01016,EQ,218.50,218.50,201.05,204.76,213.63,5907,1219769.38,321
NSE,KNRCON,INE634I01029,EQ,120.09,121.10,118.75,120.27,120.03,800438,96032398.00,8607
NSE,KOHINOOR,INE080B01012,EQ,31.90,31.90,30.53,31.05,30.82,90283,2787951.72,1635
NSE,KOKUYOCMLN,INE760A01029,EQ,77.49,77.49,76.00,76.03,76.64,9366,714686.92,265
NSE,KOLTEPATIL,INE094I01018,EQ,433.00,437.90,429.40,432.00,432.05,33128,14345544.65,1784
NSE,KOPRAN,INE082A01010,EQ,271.80,287.00,270.18,284.53,270.81,662546,184903714.86,9510
NSE,KOTAKBANK,INE237A01036,EQ,406.90,407.95,399.30,404.00,405.00,18175573,7334446928.00,135524
NSE,KOTARISUG,INE419A01022,BE,27.09,27.80,27.00,27.52,26.83,37765,1033798.79,188
NSE,KOTHARIPET,INE720A01015,EQ,134.70,135.78,133.00,133.52,134.01,20022,2678903.79,646
NSE,KOTHARIPRO,INE823A01017,EQ,67.13,68.44,66.00,67.97,67.13,11027,737274.11,259
NSE,KOTIC,INE972A01020,EQ,143.80,155.00,143.00,150.41,143.82,18933,2776818.82,851
NSE,KOTYARK,INE0J0B01017,BE,31.00,31.49,30.62,31.20,31.30,72118,2241082.24,264
NSE,KOVAI,INE177F01017,EQ,6101.00,6148.00,6063.00,6090.50,6101.00,3285,20016193.50,953
NSE,KPEL,INE127T01021,EQ,219.27,226.00,219.21,222.43,221.55,284030,63201110.26,5860
NSE,KPIGREEN,INE542W01025,EQ,334.70,346.25,329.50,339.75,333.20,1557582,522152670.50,25566
NSE,KPIL,INE220B01022,EQ,1406.60,1418.60,1385.10,1391.20,1399.60,128530,179476959.10,15424
NSE,KPITTECH,INE04I401011,EQ,517.95,519.50,507.80,519.40,516.85,1244484,641050726.65,29752
NSE,KPL,INE552U01010,EQ,3667.80,3774.40,3639.00,3672.30,3642.10,32185,119004723.50,6856
NSE,KPRMILL,INE930H01031,EQ,1118.00,1120.90,1101.10,1106.40,1113.80,79073,87705379.90,12563
NSE,KRBL,INE001B01026,EQ,396.00,407.30,393.30,398.65,398.20,459998,183583024.60,12505
NSE,KREBSBIO,INE268B01013,EQ,58.23,59.40,55.93,56.94,57.66,2532,144074.42,68
NSE,KRIDHANINF,INE524L01026,EQ,1.85,1.88,1.79,1.86,1.85,58123,105486.26,125
NSE,KRISHANA,INE506W01020,EQ,186.23,188.00,183.15,187.24,184.51,356024,66344564.48,4193
NSE,KRISHIVAL,INE0GGO01015,EQ,415.00,415.00,411.50,413.40,411.30,11444,4734829.15,362
NSE,KRISHNADEF,INE0J5601015,EQ,1023.10,1029.10,995.00,1006.80,1015.50,60791,61197474.60,4541
NSE,KRITI,INE479D01038,EQ,63.50,63.50,60.51,61.21,61.65,6972,427786.21,173
NSE,KRITIKA,INE00Z501029,EQ,5.02,5.09,5.00,5.04,5.02,88017,442971.66,393
NSE,KRITINUT,INE798K01010,EQ,77.90,78.96,76.21,77.49,77.81,7037,544398.83,145
NSE,KRN,INE0Q3J01015,EQ,1401.10,1433.40,1373.80,1381.80,1401.60,180039,251177637.30,19600
NSE,KRONOX,INE0ATZ01017,BE,205.00,206.58,198.01,206.58,196.75,145260,29945712.70,843
NSE,KROSS,INE0O6601022,EQ,274.85,274.99,262.22,267.87,272.90,812431,218057455.51,20303
NSE,KRSNAA,INE08LI01020,EQ,552.00,552.00,542.10,548.45,551.25,23523,12870101.95,2230
NSE,KRYSTAL,INE0QN801017,EQ,639.35,643.95,629.15,631.55,637.50,6661,4226025.55,468
NSE,KSB,INE999A01023,EQ,802.15,825.45,802.15,819.10,802.15,270689,220872040.95,13326
NSE,KSCL,INE455I01029,EQ,798.90,845.60,777.30,804.55,783.85,9425259,7624859776.75,198021
NSE,KSE,INE953E01022,EQ,183.15,183.15,178.00,180.76,181.11,6455,1165605.82,295
NSE,KSHINTL,INE987S01020,EQ,1036.30,1048.00,1024.95,1035.50,1036.00,131534,136113706.15,11027
NSE,KSHITIJPOL,INE013801027,EQ,4.81,4.81,4.81,4.81,5.06,497252,2391782.12,824
NSE,KSL,INE907A01026,EQ,974.20,984.50,957.00,964.70,974.20,94739,91546692.10,5297
NSE,KSOLVES,INE0D6I01023,EQ,252.00,258.50,243.55,248.50,249.15,44119,10932332.75,2236
NSE,KSR,INE1SPP01016,BE,37.20,38.60,36.06,38.49,37.80,6536,247432.48,58
NSE,KTKBANK,INE614B01018,EQ,338.15,340.70,333.25,335.50,338.15,680592,229207015.50,14494
NSE,KUANTUM,INE529I01021,EQ,80.18,82.49,79.25,79.59,80.17,97440,7826508.25,1468
NSE,KUSUMGAR,INE0ISX01025,EQ,620.95,629.70,611.10,626.70,620.10,190712,118531809.20,11380
NSE,KWIL,INE2KCE01013,EQ,40.80,41.55,40.45,41.03,40.81,5147575,210784718.71,20765
NSE,LADDERUP,INE519D01015,BE,52.06,54.99,52.00,52.00,53.63,1072,55883.25,15
NSE,LAGNAM,INE548Z01017,EQ,76.48,76.48,73.15,74.99,74.99,938,70029.62,31
NSE,LAHOTIOV,INE515C01023,EQ,39.80,40.00,38.90,39.90,38.28,3662,144353.33,41
