exchange,symbol,isin,series,date,close,prev_close,volume,value,trades,sma20,sma50,sma200,avg_vol20,volume_ratio20,high20,high50,high60,low20,low50,low60,high252,low252,dist_52w_high_pct,dist_52w_low_pct,roc20_pct,roc50_pct,rsi14,atr14_pct,range_pct,close_vs_sma20_pct,close_vs_sma50_pct,close_vs_sma200_pct,sma20_slope20_pct,sma50_slope20_pct
NSE,VSTIND,INE710A01016,EQ,2026-09-21,206.76,208.92,77120,15956788.49,2620,207.6295,217.4054,,111915,0.6891,214.7,245.45,271.95,201,201,201,271.95,201,-23.9713,2.8657,-2.7881,-16.8302,43.0243,1.7211,1.2517,-0.4188,-4.8966,,-5.2316,-9.0181
BSE,VSTL,INE0QTF01015,B,2026-09-21,110.85,112.35,290,32230,13,115.1375,111.897,,1471.25,0.1971,125,125,125,107.05,103.8,103.8,125,103.8,-11.32,6.7919,0.8644,-3.4408,49.4017,4.3012,2.7627,-3.7238,-0.9357,,5.7666,-0.5024
NSE,VSTL,INE0QTF01015,EQ,2026-09-21,114.48,113.54,6093,689946.76,207,115.439,112.0124,,13906.5,0.4381,126,126,126,108.3,101,101,126,101,-9.1429,13.3465,3.5643,0.0087,54.5963,4.2016,4.7804,-0.8307,2.203,,6.141,-0.3837
BSE,VSTTILLERS,INE764D01017,B,2026-09-21,4290.3,4236.55,1066,4526740,264,4216.5675,4377.019,,622,1.7138,4483.35,4700,4732.1,3960,3960,3960,4732.1,3960,-9.3362,8.3409,-2.6436,-7.9068,45.3282,2.5186,2.8862,1.7486,-1.9812,,-5.5931,-2.9045
NSE,VSTTILLERS,INE764D01017,EQ,2026-09-21,4290.7,4240,11400,48429192.9,2602,4215.44,4377.926,,7984.4,1.4278,4479.6,4709,4728.9,3950,3950,3950,4742,3950,-9.5171,8.6253,-2.7096,-7.828,45.292,2.7977,3.1463,1.7853,-1.9924,,-5.6497,-2.9091
BSE,VTL,INE825A01020,A,2026-09-21,554.8,577.6,12649,7124036,546,582.3375,599.652,,92627.75,0.1366,637.85,658.5,687.7,544.4,544.4,544.4,687.7,544.4,-19.3253,1.9104,-7.9552,-12.8495,45.434,3.8701,4.3219,-4.7288,-7.4797,,-3.1713,-3.867
NSE,VTL,INE825A01020,EQ,2026-09-21,554.15,578.05,235586,132194547.95,15574,582.5725,599.886,,1581622,0.149,637.85,659,688,543.35,543.35,543.35,688,543.35,-19.4549,1.9877,-8.0859,-12.89,45.1066,3.8605,4.4825,-4.8788,-7.6241,,-3.1701,-3.8621
BSE,VTMLTD,INE222F01029,B,2026-09-21,46.44,47.83,4750,222302,67,53.122,57.334,,27085.95,0.1754,62,74.5,74.5,39.85,39.85,39.85,74.5,39.85,-37.6644,16.537,0.9126,-31.7761,29.989,8.0165,5.0759,-12.5786,-19.0009,,-5.4836,-6.0166
NSE,VTMLTD,INE222F01029,EQ,2026-09-21,46.26,47.5,37450,1769650.88,292,53.039,,,76482,0.4897,61.9,,,39.15,,,61.9,39.15,-25.2666,18.1609,0.2818,,31.9128,9.5763,7.6686,-12.7812,,,,
BSE,VVIPIL,INE0MNP01016,M,2026-09-21,133.7,137.05,15000,2048730,24,135.655,128.078,,23250,0.6452,148,148,158.95,120,110.6,110.6,158.95,110.6,-15.8855,20.8861,6.96,-7.0883,49.8731,5.2276,5.2632,-1.4412,4.3895,,13.9144,-1.395
