symbol,series,52w_high,52w_high_date,52w_low,52w_low_date
WILLAMAGOR,EQ,37.50,16-SEP-2025,21.11,30-MAR-2026
WINDLAS,EQ,1181.90,07-SEP-2026,697.40,16-MAR-2026
WINDMACHIN,EQ,343.90,10-JUN-2026,200.65,30-MAR-2026
WINNY,SM,79.70,18-NOV-2025,29.45,09-SEP-2026
WINROC$,BE,-,-,-,-
WINSOL,SM,204.95,10-SEP-2025,93.50,30-MAR-2026
WINSOMBR$,EQ,-,-,-,-
WINSOMTX$,EQ,-,-,-,-
WIPL,EQ,193.20,30-OCT-2025,133.10,20-JAN-2026
WIPRO,EQ,273.10,22-DEC-2025,166.00,10-SEP-2026
WIREFABR$,EQ,-,-,-,-
WITS$,ST,-,-,-,-
WMINIMT$,BE,-,-,-,-
WOCKPHARMA,EQ,2422.30,01-JUN-2026,1086.70,23-MAR-2026
WOL3D,SM,216.70,26-MAY-2026,106.65,27-JAN-2026
WOMANCART,ST,358.00,06-NOV-2025,88.00,20-JUL-2026
WONDERLA,EQ,649.95,12-SEP-2025,455.00,02-MAR-2026
WORKMATES$,SM,-,-,-,-
WORTH$,EQ,-,-,-,-
WORTHPERI,EQ,169.80,07-AUG-2026,109.00,27-MAR-2026
WOSAL$,SM,-,-,-,-
WPIL,EQ,510.35,25-JUN-2026,383.55,15-MAY-2026
WSFX$,EQ,-,-,-,-
WSI,EQ,95.00,23-DEC-2025,53.80,12-AUG-2026
WSTCSTPAPR,EQ,714.80,10-SEP-2026,375.00,09-MAR-2026
WTICAB,SM,176.45,15-SEP-2025,75.15,30-MAR-2026
XCHANGING,EQ,103.00,30-OCT-2025,47.50,30-MAR-2026
XELPMOC,EQ,155.50,19-NOV-2025,74.00,10-SEP-2026
XPROINDIA,EQ,1574.80,03-JUL-2026,788.05,16-MAR-2026
XTGLOBAL,EQ,46.25,17-SEP-2025,25.20,27-JAN-2026
XTRANET,EQ,304.80,10-SEP-2026,122.50,04-AUG-2026
YAANENT$,EQ,-,-,-,-
YAAP,SM,214.40,07-MAY-2026,117.00,31-AUG-2026
YAASHVI$,SM,-,-,-,-
YAJUR$,ST,-,-,-,-
YAMNINV$,BE,-,-,-,-
YARNSYN$,EQ,-,-,-,-
YASHCHEM$,EQ,-,-,-,-
YASHHTEJ$,SM,-,-,-,-
YASHHV$,SM,-,-,-,-
YASHINNO$,EQ,-,-,-,-
YASHMGM$,EQ,-,-,-,-
YASHO,EQ,4994.00,18-AUG-2026,1130.00,09-JAN-2026
