symbol,series,52w_high,52w_high_date,52w_low,52w_low_date
LOWVOL,EQ,219.10,07-JAN-2026,183.58,06-APR-2026
LOWVOL1,EQ,22.90,01-DEC-2025,18.77,30-MAR-2026
LOWVOLIETF,EQ,26.81,27-JAN-2026,19.84,02-APR-2026
LOYAL$,EQ,-,-,-,-
LOYALTEX,EQ,333.99,09-FEB-2026,170.04,02-APR-2026
LPDC,EQ,9.46,26-NOV-2025,5.23,01-APR-2026
LRRPL,SM,98.90,23-JUN-2026,59.15,26-FEB-2026
LT,EQ,4440.00,24-FEB-2026,3288.10,23-MAR-2026
LTCASEINAV,EQ,-,-,-,-
LTELEVATO$,ST,-,-,-,-
LTF,EQ,338.60,07-JUL-2026,230.71,08-SEP-2025
LTFOODS,EQ,490.70,24-AUG-2026,333.15,20-JAN-2026
LTGILTBEES,EQ,30.61,08-SEP-2026,28.13,01-OCT-2025
LTGILTCASE,EQ,31.31,17-AUG-2026,28.71,28-OCT-2025
LTGILTINAV,EQ,-,-,-,-
LTM,EQ,6429.50,19-JAN-2026,3528.00,30-JUN-2026
LTTS,EQ,4726.00,04-DEC-2025,3010.00,13-MAR-2026
LUDLOWJUT$,EQ,-,-,-,-
LUMAXIND,EQ,6934.50,11-FEB-2026,4061.00,12-SEP-2025
LUMAXTECH,EQ,2148.70,01-SEP-2026,1056.80,08-SEP-2025
LUMINO,EQ,122.00,04-SEP-2026,106.54,03-SEP-2026
LUPIN,EQ,2529.50,16-JUL-2026,1900.00,28-OCT-2025
LUXIND,EQ,1823.35,24-APR-2026,824.05,30-MAR-2026
LUXURY$,SM,-,-,-,-
LWSKNIT$,EQ,-,-,-,-
LXCHEM,EQ,241.00,15-SEP-2025,107.60,30-MAR-2026
LYKALABS,BE,101.90,23-SEP-2025,44.10,30-MAR-2026
LYKISLTD$,EQ,-,-,-,-
LYNMC$,BE,-,-,-,-
M&M,EQ,3839.90,05-JAN-2026,2896.00,16-MAR-2026
M&MFIN,EQ,415.00,10-AUG-2026,266.05,10-SEP-2025
MAANALU,EQ,184.74,18-DEC-2025,103.01,29-SEP-2025
MACH$,SM,-,-,-,-
MACHLTD$,SM,-,-,-,-
MACIND$,EQ,-,-,-,-
MACOBSTECH,SM,249.00,07-JUL-2026,195.00,08-SEP-2026
MACPLASQ$,EQ,-,-,-,-
MACPOWER,EQ,2050.00,28-AUG-2026,761.00,10-NOV-2025
MADALA$,EQ,-,-,-,-
