exchange,symbol,isin,series,date,close,prev_close,volume,value,trades,sma20,sma50,sma200,avg_vol20,volume_ratio20,high20,high50,high60,low20,low50,low60,high252,low252,dist_52w_high_pct,dist_52w_low_pct,roc20_pct,roc50_pct,rsi14,atr14_pct,range_pct,close_vs_sma20_pct,close_vs_sma50_pct,close_vs_sma200_pct,sma20_slope20_pct,sma50_slope20_pct
NSE,BROOKS,INE650L01011,EQ,2026-09-17,61.23,61.02,27597,1677143.43,384,63.9565,63.9332,,30674,0.8997,71.4,72.25,79.69,58.22,57.5,57.5,79.69,57.5,-23.1648,6.487,3.6391,-12.0385,40.1896,7.2338,8.1931,-4.2631,-4.2282,,4.1476,-4.027
BSE,BRPL,INE319Q01012,B,2026-09-17,153.35,151.75,14445,2222156,325,149.0925,134.934,,23901.8,0.6043,163.9,163.9,163.9,123.2,112,112,163.9,112,-6.4369,36.9196,23.6694,27.7917,54.3016,6.9752,4.4578,2.8556,13.6482,,16.2333,8.9566
BSE,BRRL,INE0IZQ01016,M,2026-09-17,887.45,950,3400,3058590,15,918.66,893.641,,2620,1.2977,998,998,999,830,782,782,999,760.05,-11.1662,16.7621,-3.4961,-2.7985,51.0483,5.5665,11.8391,-3.3973,-0.6928,,4.3956,
NSE,BSE,INE118H01025,EQ,2026-09-17,3259,3240,2770028,9055427346.4,116540,3312.165,3471.072,,4385313,0.6317,3474.5,3867.5,3971.6,3131.5,3131.5,3131.5,4219.9,3131.5,-22.7707,4.0715,-2.7745,-12.84,46.5699,3.6832,2.1905,-1.6051,-6.1097,,-5.5432,-6.5765
BSE,BSELALGO,INE395A01016,X,2026-09-17,3.88,3.97,84665,331739,197,4.0285,4.0786,,75330.75,1.1239,4.25,5,5,3.66,3.59,3.59,5,3.59,-22.4,8.078,1.8373,-9.3458,27.2727,4.3446,5.7895,-3.6862,-4.8693,,-0.3833,-3.8111
BSE,BSHSL,INE032Z01020,B,2026-09-17,90,85.19,697,59668,17,89.4985,88.6958,,902.15,0.7726,95.76,95.76,95.76,81.01,81.01,81.01,99.43,81.01,-9.4841,11.0974,2.6343,-0.5525,49.3105,4.2849,6.6351,0.5603,1.4704,,1.8377,
NSE,BSHSL,INE032Z01020,EQ,2026-09-17,88.25,84.78,5728,502761.83,135,89.072,88.2656,,7529.1,0.7608,94.2,94.2,94.2,83.4,83.11,83.11,98,83.11,-9.949,6.1846,-0.5298,-0.0679,48.0397,5.1501,9.5727,-0.9228,-0.0177,,1.289,-1.1304
BSE,BSL,INE594B01012,B,2026-09-17,115.65,118,2,231,2,122.255,124.141,,586.35,0.0034,130,144,147,115.65,115.65,115.65,147,115.65,-21.3265,0,-5.9756,-10.07,32.9466,3.2889,0.4756,-5.4026,-6.8398,,-1.4152,-1.6144
NSE,BSL,INE594B01012,EQ,2026-09-17,117.32,117.97,641,75723.38,40,121.973,123.7504,,5811.85,0.1103,132.98,132.98,147.85,116.8,116.8,116.8,147.85,116.8,-20.6493,0.4452,-3.2253,-7.5128,21.9153,3.4862,2.7312,-3.8148,-5.1963,,-1.618,-1.8353
BSE,BSOFT,INE836A01035,A,2026-09-17,283.85,281.2,56593,16106467,1161,289.9875,297.073,,135352.15,0.4181,314.5,331.1,331.1,274.25,270.2,270.2,337,270.2,-15.7715,5.0518,-7.1171,4.2799,46.9173,3.4035,1.7553,-2.1165,-4.4511,,-6.1172,-1.7284
NSE,BSOFT,INE836A01035,EQ,2026-09-17,283.8,281.25,1029959,292998919.45,31309,289.9725,297.082,,1652113.9,0.6234,314,331,331,274.2,270.2,270.2,337.45,270.2,-15.8987,5.0333,-7.2246,4.2616,46.8345,3.4569,1.8818,-2.1287,-4.4708,,-6.1327,-1.7222
BSE,BTML,INE0EEJ01023,B,2026-09-17,7.26,7.59,310287,2288136,229,8.153,7.5066,,63223.65,4.9078,9.1,9.12,9.12,6.71,5.7,5.7,9.12,5.7,-20.3947,27.3684,-15.7773,21.608,22.884,8.2546,13.9368,-10.953,-3.2851,,8.4176,11.3475
NSE,BTML,INE0EEJ01023,EQ,2026-09-17,7.25,7.57,1256315,9122142.67,1414,8.1365,7.4992,,742860.75,1.6912,9.09,9.15,9.15,6.42,5.25,5.25,9.15,5.25,-20.765,38.0952,-16.8578,20.6323,20.2749,8.5123,12.2507,-10.8953,-3.323,,8.1119,11.1783
BSE,BTTL,INE274K01012,T,2026-09-16,40.7,40.95,1779,72405,6,43.0145,46.27,,5707.2,0.3117,47.29,57.97,57.97,40.1,40.1,34.1,57.97,33.85,-29.7913,20.2363,-6.7583,-25.8112,37.0536,4.1594,0.2457,-5.3807,-12.038,,-6.5075,2.5888
NSE,BTTL,INE274K01012,BE,2026-09-17,41.15,41.89,11388,458142.1,55,42.936,45.9998,,4962.35,2.2949,47.4,58.23,58.23,39.8,39.8,37.05,58.23,33.99,-29.332,21.065,-4.5686,-21.2591,36.6385,4.5235,7.3618,-4.1597,-10.5431,,-6.008,0.925
BSE,BUILDPRO,INE24OJ01011,B,2026-09-17,1243.95,1272.85,2487,3111792,194,1266.4075,1262.328,,23713.85,0.1049,1359.9,1379.8,1379.8,1199.8,1063.4,970.9,1379.8,970.9,-9.8456,28.1234,-2.4429,17.5201,50,3.9798,3.0782,-1.7733,-1.4559,,-0.1181,8.1934
NSE,BUILDPRO,INE24OJ01011,EQ,2026-09-17,1244.9,1271,18237,22804103,1624,1266.67,1262.85,,76770.8,0.2376,1360,1380,1380,1200,1055.3,972,1380,972,-9.7899,28.0761,-2.2074,17.7656,50.5507,4.1323,3.0528,-1.7187,-1.4214,,-0.1384,8.1798
BSE,BURNPUR,INE817H01022,T,2026-09-17,17.5,16.67,2591,45342,19,16.9925,,,32545.4,0.0796,22.63,,,11.19,,,24.49,11.19,-28.5423,56.3896,11.3232,,59.9153,6.6612,0,2.9866,,,,
NSE,BURNPUR,INE817H01022,BE,2026-09-17,17.5,16.67,31069,543707.5,135,16.9925,,,137359.05,0.2262,22.63,,,11.13,,,22.63,11.13,-22.669,57.2327,11.3232,,59.9153,6.7837,0,2.9866,,,,
BSE,BUTTERFLY,INE295F01017,B,2026-09-17,580.15,577.25,1248,727628,164,617.8075,678.16,,870.25,1.4341,666,789,789,567.9,567.9,567.9,789,567.9,-26.4702,2.1571,-11.6433,-18.8601,24.0701,3.3698,3.6125,-6.0953,-14.4523,,-11.6575,-2.4616
NSE,BUTTERFLY,INE295F01017,EQ,2026-09-17,578.85,576.85,9658,5613779.5,686,617.7225,678.743,,17169.9,0.5625,660.6,788.95,788.95,566,566,566,788.95,566,-26.6303,2.2703,-11.5584,-19.324,22.7425,3.486,3.0478,-6.2929,-14.7174,,-11.7681,-2.4598
BSE,BVCL,INE139I01011,B,2026-09-17,40.87,41.35,3751,152606,23,42.777,42.0178,,50660.05,0.074,47.68,47.68,49.7,40,39.75,39.75,49.7,39.75,-17.7666,2.8176,1.1884,-1.9904,41.6908,4.9268,2.7329,-4.458,-2.7317,,3.5324,0.5461
NSE,BVCL,INE139I01011,EQ,2026-09-17,40.89,40.71,11268,459427.25,163,42.671,41.9224,,93259.35,0.1208,48,48,49.1,40,39.25,39.25,49.1,39.25,-16.721,4.1783,1.1878,-1.2796,36.7589,5.679,4.1842,-4.1738,-2.4626,,3.6358,0.6569
BSE,BYKE,INE319B01014,T,2026-09-17,30.1,30.89,937,28264,10,31.558,32.4948,,4679.85,0.2002,33.24,35.64,35.64,29.5,29.5,29.5,39.97,29.5,-24.6935,2.0339,-5.1969,-9.4737,44.9291,4.122,1.2658,-4.6201,-7.3698,,-4.1737,-3.0891
NSE,BYKE,INE319B01014,BE,2026-09-17,29.99,29.77,10421,313380.75,58,31.497,32.4578,,35443.4,0.294,33,35.53,35.53,29.7,29.7,29.7,39.41,29.7,-23.9026,0.9764,-4.7937,-9.3684,41.3005,4.573,3.9973,-4.7846,-7.6031,,-4.3865,-3.1342
BSE,CALCOM,INE216C01010,X,2026-09-17,70,70,81,5670,7,70.558,74.49,,2665.8,0.0304,76,85,85,67.02,67.02,67.02,85,67.02,-17.6471,4.4464,-3.7933,-1.4223,49.4024,4.299,0,-0.7908,-6.0277,,-8.2852,-4.0898
BSE,CALLISTA,INE714Q01014,XT,2026-09-17,140.95,140.5,169,23820,13,148.0125,165.599,,12442.45,0.0136,162,198.5,,131.45,131.45,,198.5,131.45,-28.9924,7.2271,-14.3682,-24.8066,34.4504,3.3497,7.8277,-4.7716,-14.8848,,-14.0512,
BSE,CALSOFT,INE526B01014,T,2026-09-17,37.67,35.88,35600,1282576,171,35.63,27.7994,,60189.35,0.5915,44.8,44.8,44.8,25.63,20.35,20.35,44.8,19.11,-15.9152,97.1219,32.7343,84.3857,58.0325,6.6973,10.5016,5.7255,35.5065,,56.767,22.8811
NSE,CALSOFT,INE526B01014,BE,2026-09-17,37.69,35.97,315567,11371550.78,1075,35.805,27.858,,416330.95,0.758,43.13,43.13,43.13,25.7,20.38,20.26,43.13,19.5,-12.613,93.2821,32.385,84.9362,57.6438,6.29,10.474,5.2646,35.2933,,57.8669,23.2491
BSE,CAMEXLTD,INE198C01010,X,2026-09-17,49.93,48.84,2905,144923,25,43.3755,41.7394,,35281.05,0.0823,54.4,54.4,54.4,36.32,36.32,36.32,54.4,36.32,-8.2169,37.4725,29.6883,29.3859,77.8608,7.4948,8.691,15.1111,19.6232,,6.8849,1.5903
