exchange,symbol,isin,series,open,high,low,close,prev_close,volume,value,trades
BSE,FORINTL,INE501D01013,X,80.18,80.18,78.00,78.00,78.61,554,43220.00,6
BSE,FORTIS,INE061F01013,A,915.00,919.75,909.05,912.65,913.85,459202,420211869.00,1346
BSE,FORTISMLR,INE842B01015,X,46.00,46.20,45.00,45.38,45.75,6073,276588.00,189
BSE,FOSECOC,INE599F01020,X,1823.35,1855.80,1776.20,1828.85,1823.35,1803,3292786.00,177
BSE,FOSECOIND,INE519A01011,B,6260.40,6390.00,6168.95,6367.35,6186.80,657,4125591.00,200
BSE,FRACTAL,INE212S01015,B,823.65,834.35,814.55,816.85,820.85,7934,6535444.00,362
BSE,FRANKLININD,INE789R01022,X,0.31,0.32,0.31,0.31,0.32,1405790,441413.00,554
BSE,FRASER,INE184Q01010,X,8.35,8.40,7.70,8.40,8.02,1601,13387.00,19
BSE,FRATELLI,INE401Z01019,X,127.00,129.45,122.00,122.90,125.20,7023,879630.00,105
BSE,FREDUN,INE194R01017,B,1525.00,1525.00,1484.00,1488.20,1506.15,3742,5628045.00,347
BSE,FRONTCAP,INE977E01013,X,10.74,10.74,10.50,10.67,10.23,2698,28843.00,32
BSE,FRONTCORP,INE092D01013,X,33.90,33.90,33.90,33.90,33.99,16,542.00,2
BSE,FRONTFN,INE776R01011,XT,25.94,25.94,25.94,25.94,24.71,2,51.00,1
BSE,FRONTSP,INE572D01014,B,1238.60,1285.00,1238.60,1269.45,1250.90,3208,4056990.00,387
BSE,FRUTION,INE836C01015,XT,33.75,33.75,32.75,32.75,34.40,463,15426.00,5
BSE,FSL,INE684F01012,A,270.95,270.95,263.20,264.15,270.00,93280,24870336.00,867
BSE,FTL,INE0QOQ01013,M,12.15,12.15,12.15,12.15,11.58,6000,72900.00,5
BSE,FUNDVISER,INE365H01014,X,422.10,423.05,401.00,420.00,422.10,1072,448803.00,35
BSE,FUSION,INE139R01012,B,194.85,200.70,194.50,199.20,193.15,103653,20708830.00,373
BSE,FUTSOL,INE241F01011,X,40.47,40.47,40.47,40.47,40.47,9,364.00,2
BSE,FUTURSEC,INE425D01015,X,26.69,26.69,26.69,26.69,25.42,25,667.00,3
BSE,FYNX,INE455H01021,XT,6.51,6.51,5.93,6.30,6.20,16064,102383.00,57
BSE,GABRIEL,INE524A01029,A,1376.15,1400.00,1342.20,1345.95,1383.95,36457,49765549.00,2097
BSE,GAEL,INE036B01030,B,170.85,171.60,167.50,170.60,170.95,38398,6540388.00,615
BSE,GAGAN,INE076D01016,X,20.00,20.89,19.26,20.58,20.00,1065,21357.00,26
BSE,GAIL,INE129A01019,A,172.80,174.10,172.25,173.90,172.20,189821,32924861.00,1865
BSE,GAJA,INE18UN01038,B,164.30,164.35,156.50,157.50,163.90,130666,20951031.00,1912
BSE,GAJANANSEC,INE868G01019,X,51.90,55.90,51.90,54.65,52.96,1207,64630.00,31
BSE,GALACTICO,INE906Y01028,B,2.43,2.44,2.30,2.35,2.27,201193,475445.00,293
BSE,GALADA,INE255C01026,XT,20.82,20.82,20.82,20.82,20.42,14,291.00,1
BSE,GALAGEX,INE803L01016,XT,96.84,99.00,93.15,97.12,96.84,104332,10016222.00,58
BSE,GALAPREC,INE0RE001014,B,1054.95,1060.65,1018.00,1027.40,1040.25,31695,33324033.00,186
BSE,GALAXYSURF,INE600K01018,B,2230.55,2292.15,2218.35,2252.05,2222.90,1213,2739520.00,202
BSE,GALLANTT,INE297H01019,A,558.35,575.05,558.35,571.15,554.85,6500,3678061.00,747
BSE,GALLARD,INE0BUQ01012,M,185.05,185.05,172.00,177.00,187.00,21000,3756300.00,20
BSE,GALLOPENT,INE755J01012,XT,38.00,38.48,37.01,38.39,36.65,571,21732.00,14
BSE,GALXBRG,INE020S01012,XT,878.75,878.75,846.50,870.00,860.20,167,145864.00,19
BSE,GAMCO,INE890S01026,X,50.39,50.40,48.31,49.04,49.33,33717,1665083.00,87
BSE,GANDHAR,INE717W01049,B,266.80,271.00,263.90,267.55,266.20,64829,17323303.00,1060
BSE,GANDHITUBE,INE524B01027,B,898.95,904.00,894.40,900.50,896.00,648,582000.00,22
BSE,GANECOS,INE845D01014,B,1027.95,1028.00,1002.70,1022.20,1008.15,1156,1172557.00,122
BSE,GANESHBE,INE388A01029,T,124.00,126.50,118.20,122.20,124.00,48036,5946017.00,300
BSE,GANESHCP,INE652V01016,B,166.20,174.45,166.20,168.00,167.25,3432,583887.00,149
BSE,GANESHHOU,INE460C01014,B,764.70,774.00,759.10,760.95,762.60,2725,2083757.00,139
BSE,GANHOLD,INE932M01011,XT,100.00,102.00,97.00,97.50,101.75,22,2179.00,19
BSE,GANONPRO,INE162L01017,X,7.30,7.68,7.30,7.59,7.32,36125,267775.00,40
