exchange,symbol,isin,series,open,high,low,close,prev_close,volume,value,trades
NSE,NAVA,INE725A01030,EQ,564.20,569.20,554.30,557.20,560.75,224924,126260215.35,9452
NSE,NAVINFLUOR,INE048G01026,EQ,8552.50,8718.00,8500.00,8697.00,8542.50,142402,1226905661.50,40923
NSE,NAVKARCORP,INE278M01019,EQ,95.70,98.40,95.12,97.44,95.47,217243,21009290.68,1697
NSE,NAVKARURB,INE268H01044,BE,0.89,0.90,0.87,0.89,0.89,318951,284195.00,253
NSE,NAVNETEDUL,INE060A01024,EQ,133.90,134.00,131.50,132.08,133.91,58172,7715163.31,1398
NSE,NAZARA,INE418L01047,EQ,366.50,368.90,361.35,365.80,366.00,661018,241283604.55,9947
NSE,NBCC,INE095N01031,EQ,85.15,86.90,85.15,86.50,85.00,3561028,306866018.63,19617
NSE,NBIFIN,INE365I01020,EQ,2000.00,2055.10,1965.00,1983.40,1986.20,341,683089.90,40
NSE,NCC,INE868B01028,EQ,143.50,147.50,143.50,147.24,142.53,1686749,245927502.14,16825
NSE,NCLIND,INE732C01016,EQ,174.95,178.50,174.81,177.36,174.94,29657,5244404.94,2844
NSE,NDGL,INE756C01015,EQ,2795.00,2798.00,2755.00,2757.60,2743.90,56,155275.50,22
NSE,NDL,INE875G01048,EQ,2.86,2.89,2.82,2.83,2.85,786673,2248006.91,1120
NSE,NDLVENTURE,INE353A01023,EQ,124.88,124.88,120.13,123.01,120.91,13539,1664744.70,83
NSE,NDRAUTO,INE07OG01012,EQ,720.95,727.95,718.70,724.20,719.15,8085,5838342.15,780
NSE,NDTV,INE155G01029,EQ,71.75,72.78,70.55,70.66,70.84,46817,3328229.58,626
NSE,NEAGI,INE605D01012,EQ,3370.10,3370.10,3370.10,3370.10,3370.10,1,3370.10,1
NSE,NECCLTD,INE553C01016,BE,16.80,17.68,16.80,17.63,16.90,203067,3556382.79,256
NSE,NECLIFE,INE023H01027,EQ,12.15,12.65,12.10,12.17,12.31,274924,3373276.68,416
NSE,NELCAST,INE189I01024,EQ,117.96,120.45,117.30,118.76,117.58,337600,40042791.46,3341
NSE,NELCO,INE045B01015,EQ,936.60,963.00,930.50,933.75,929.65,218453,206730475.25,8897
NSE,NEOGEN,INE136S01016,EQ,2136.40,2170.00,2114.00,2137.10,2136.40,69594,148736558.70,14002
NSE,NEPHROPLUS,INE428V01029,EQ,693.30,712.30,686.10,706.75,692.70,198406,139462950.75,8857
NSE,NESCO,INE317F01035,EQ,1038.40,1050.00,1033.20,1044.80,1038.40,47302,49355558.90,5660
NSE,NESTLEIND,INE239A01024,EQ,1424.10,1424.10,1407.00,1416.00,1425.00,660284,933360587.70,34526
NSE,NETWEB,INE0NT901020,EQ,5165.00,5375.00,5114.00,5270.00,5110.00,2365927,12484112328.00,181434
NSE,NETWORK18,INE870H01013,EQ,27.50,27.82,27.33,27.55,27.24,3195984,88048632.10,6381
NSE,NEUEON,INE333I01044,BE,10.91,11.88,10.88,10.94,11.45,157819,1737651.76,179
NSE,NEULANDLAB,INE794A01010,EQ,23075.00,23295.00,22810.00,22890.00,22960.00,32650,750095555.00,13760
NSE,NEWGEN,INE619B01017,EQ,525.00,527.50,514.50,517.65,519.30,624729,323700399.20,15527
NSE,NEXTMEDIA,INE747B01016,EQ,4.19,4.19,4.00,4.00,4.21,55549,225042.05,149
NSE,NFL,INE870D01012,EQ,70.30,70.94,70.11,70.33,69.98,404241,28492015.35,2572
NSE,NGIL,INE236Y01012,EQ,40.00,41.40,39.28,40.24,39.41,13022,531536.37,64
NSE,NGLFINE,INE887E01022,EQ,2719.90,2999.80,2676.00,2940.80,2688.70,69056,197733456.90,10142
NSE,NH,INE410P01011,EQ,1928.20,1929.40,1877.00,1882.20,1922.70,120292,228016573.20,18961
NSE,NHPC,INE848E01016,EQ,76.11,77.21,75.87,76.45,75.65,14041987,1075038556.86,28829
NSE,NIACL,INE470Y01017,EQ,198.70,203.82,192.87,195.33,199.11,6906382,1376648324.82,59041
NSE,NIBE,INE149O01018,EQ,1373.90,1418.90,1310.00,1322.00,1342.90,61410,81913482.40,4975
NSE,NIBL,INE047O01014,EQ,31.65,32.00,30.65,30.76,31.08,1464,45854.24,39
NSE,NICCOPAR,INE653C01022,EQ,79.04,79.04,78.00,78.20,79.04,452,35536.28,14
NSE,NIITLTD,INE161A01038,EQ,97.99,98.88,97.00,97.57,97.33,169439,16582475.33,2134
NSE,NIITMTS,INE342G01023,EQ,223.50,225.23,222.00,222.91,223.47,88845,19841126.91,2858
NSE,NILAINFRA,INE937C01029,EQ,6.66,6.77,6.66,6.70,6.71,140905,943497.95,543
NSE,NILASPACES,INE00S901012,EQ,12.76,12.85,12.21,12.28,12.51,1904437,23613368.13,2675
NSE,NILE,INE445D01013,EQ,1478.90,1485.00,1461.10,1470.50,1471.50,1689,2484182.00,291
NSE,NILKAMAL,INE310A01015,EQ,2072.80,2149.50,2035.70,2111.10,2063.10,52362,110364322.30,6463
NSE,NIMBSPROJ,INE875B01015,EQ,163.07,163.07,151.93,151.93,159.92,2823,435497.27,184
NSE,NINSYS,INE395U01014,EQ,725.00,737.00,704.00,709.25,710.95,5444,3897558.60,841
NSE,NIPPOBATRY,INE567A01028,EQ,321.20,330.00,321.20,324.00,323.10,705,229244.20,67
NSE,NIRAJ,INE368I01016,EQ,28.71,29.60,28.41,29.13,29.00,40900,1184035.39,145
NSE,NIRAJISPAT,INE326T01011,BE,410.00,410.00,408.20,408.20,429.65,524,214472.80,31
