exchange,symbol,isin,series,open,high,low,close,prev_close,volume,value,trades
BSE,STAR,INE939A01011,A,1151.00,1192.00,1102.35,1188.55,1152.50,22319,25521964.00,1561
BSE,STARCEMENT,INE460H01021,B,186.80,187.60,183.70,187.30,184.75,11365,2109676.00,411
BSE,STARDELTA,INE541K01014,X,430.00,439.95,430.00,437.30,430.25,520,225379.00,60
BSE,STARHEALTH,INE575P01011,A,541.75,549.05,531.50,545.65,540.55,12077,6532457.00,869
BSE,STARHFL,INE526R01028,X,4.81,4.81,4.42,4.44,4.65,82338,370059.00,188
BSE,STARIMAGIN,INE0YG001013,M,79.00,81.50,79.00,81.50,77.99,4000,320080.00,4
BSE,STARLENT,INE594W01042,B,8.40,8.82,8.40,8.40,8.84,191221,1608823.00,203
BSE,STARLOG,INE580C01019,X,38.44,38.44,37.02,37.52,38.45,133,4995.00,7
BSE,STARPAPER,INE733A01018,B,169.00,170.00,159.05,163.90,160.80,709,119311.00,37
BSE,STARSOURCE,INE320M01019,X,72.75,72.75,71.00,71.01,72.75,161,11469.00,11
BSE,STARTECK,INE992I01013,B,236.00,236.00,236.00,236.00,231.05,5,1180.00,3
BSE,STCINDIA,INE655A01013,B,111.00,113.05,109.80,112.25,111.55,1110,123551.00,47
BSE,STCORP,INE110Q01023,X,4.25,4.25,3.91,4.15,4.07,3218,13337.00,34
BSE,STDBAT,INE502C01039,X,37.96,45.61,37.96,45.61,38.01,10650,478175.00,100
BSE,STDSFAC,INE307D01015,XT,143.64,143.64,143.64,143.64,136.80,4621,663760.00,57
BSE,STEELCAS,INE124E01038,B,307.00,311.60,294.15,299.75,312.65,7714,2330875.00,469
BSE,STEELCO,INE629B01032,XT,233.55,243.05,233.55,243.05,238.30,12682,3075859.00,72
BSE,STEELXIND,INE503B01021,B,11.31,11.50,10.94,11.12,11.46,569861,6352241.00,588
BSE,STEL,INE577L01016,B,601.00,601.00,599.15,601.00,601.95,1822,1094999.00,396
BSE,STELLANT,INE395F01023,XT,1020.00,1020.00,970.15,982.70,1012.40,983,972017.00,99
BSE,STERPOW,INE067E01013,X,26.00,26.06,24.76,24.94,26.06,3366,85907.00,49
BSE,STERTOOLS,INE334A01023,T,215.85,215.85,207.55,215.75,212.55,1950,408598.00,41
BSE,STHINPA,INE088G01014,X,120.85,123.50,117.00,120.00,118.00,7413,888585.00,78
BSE,STL,INE402Y01028,B,7.90,8.09,7.81,7.87,7.90,26853,213125.00,74
BSE,STLNETWORK,INE1VXE01018,B,38.50,39.00,35.30,38.94,37.15,2017477,73822085.00,3726
BSE,STLSTRINF,INE205F01016,B,27.84,28.48,24.42,27.05,27.13,23293,602052.00,255
BSE,STLTECH,INE089C01029,T,812.25,850.00,812.25,818.15,854.95,177558,145213040.00,3702
BSE,STML,INE0MSK01016,M,72.00,72.00,72.00,72.00,72.00,1200,86400.00,1
BSE,STOVACQ,INE755D01015,X,1639.95,1639.95,1600.00,1600.30,1610.10,167,267588.00,26
BSE,STOVEKRAFT,INE00IN01015,B,804.75,832.10,800.75,829.30,804.15,4711,3872177.00,452
BSE,STRATMONT,INE473C01025,X,63.98,63.98,59.41,59.41,62.53,3377,202101.00,45
BSE,STRGRENWO,INE398F01019,X,22.45,22.45,22.45,22.45,22.50,4,89.00,1
BSE,STUDDS,INE00Q601028,B,414.60,414.60,403.00,404.95,411.20,9116,3720183.00,720
BSE,STYL,INE04VU01023,B,360.20,364.00,344.75,361.40,360.20,3713,1317188.00,287
BSE,STYLAMIND,INE239C01020,B,3263.50,3303.80,3170.00,3186.55,3292.70,1580,5067742.00,294
BSE,STYLEBAAZA,INE01FR01028,B,383.20,383.20,362.15,372.65,375.70,21207,7879294.00,780
BSE,STYRENIX,INE189B01011,B,2024.95,2088.40,2017.85,2059.85,2034.15,2047,4184986.00,382
BSE,SUBAM,INE0U6201010,M,192.55,199.55,192.55,195.00,196.80,8800,1721960.00,10
BSE,SUBEXLTD,INE754A01055,B,20.57,20.90,19.36,19.60,20.45,1260077,25245164.00,2008
BSE,SUBROS,INE287B01021,B,688.25,690.80,668.00,677.40,684.05,3763,2554246.00,274
BSE,SUBSM,INE690D01014,X,52.49,52.49,52.49,52.49,55.25,101,5301.00,2
BSE,SUCROSA,INE366G01022,XT,13.98,13.98,12.85,12.90,13.49,121787,1619648.00,258
BSE,SUDAI,INE618D01015,X,43.15,46.93,42.93,44.40,45.18,3971,172835.00,43
BSE,SUDARCOLOR,INE492A01029,B,374.00,375.00,369.25,374.90,376.10,114,42509.00,20
BSE,SUDARSCHEM,INE659A01023,A,1173.65,1206.70,1148.25,1198.30,1183.70,11668,13711461.00,681
BSE,SUDARSHAN,INE00TV01023,M,39.43,40.39,39.43,40.12,39.44,232000,9287600.00,31
BSE,SUDEEPPHRM,INE0QPI01025,B,1197.00,1197.00,1083.60,1108.10,1140.60,71813,78656777.00,3376
BSE,SUDTIND-B,INE691D01012,X,65.14,65.14,60.10,61.99,64.50,9772,611183.00,62
