exchange,symbol,isin,series,open,high,low,close,prev_close,volume,value,trades
BSE,HATHWAY,INE982F01036,B,10.23,10.30,10.21,10.23,10.31,97951,1003258.00,370
BSE,HATHWAYB,INE525B01016,X,11.50,11.97,11.50,11.97,11.50,646,7552.00,9
BSE,HATSUN,INE473B01035,A,1201.00,1214.00,1155.75,1199.95,1202.65,12558,14825984.00,1233
BSE,HAVELLS,INE176B01034,A,1139.15,1143.70,1118.30,1121.10,1140.70,444393,500052456.00,3273
BSE,HAVISHA,INE293B01029,B,1.33,1.39,1.29,1.38,1.35,1087,1431.00,12
BSE,HAWAENG,INE230I01018,X,79.54,79.89,75.75,76.00,78.94,704,54024.00,23
BSE,HAWKINCOOK,INE979B01015,B,8345.00,8621.40,8345.00,8499.35,8250.95,589,5030750.00,233
BSE,HAZOOR,INE550F01049,B,20.69,20.69,19.70,19.95,19.91,147365,2997886.00,447
BSE,HBEL,INE02PC01027,M,27.38,27.40,27.30,27.35,26.10,11250,307875.00,9
BSE,HBESD,INE640B01021,B,71.21,76.00,71.21,76.00,73.11,68,5000.00,3
BSE,HBGHOTELS,INE977M01024,X,75.00,75.00,68.00,68.20,69.80,33177,2296338.00,110
BSE,HBLEAS,INE549B01016,X,10.70,10.70,10.08,10.32,10.37,1156,12161.00,15
BSE,HBLENGINE,INE292B01021,A,734.10,772.00,726.00,731.25,731.50,680096,510838190.00,15226
BSE,HBPOR,INE638B01025,B,64.80,64.80,60.25,62.79,60.00,38,2393.00,5
BSE,HBSL,INE550B01022,B,54.40,54.99,52.50,52.51,53.91,919,49818.00,31
BSE,HCC,INE549A01026,A,23.68,23.89,23.20,23.44,23.86,1470369,34576785.00,1882
BSE,HCG,INE075I01017,A,696.35,715.00,690.00,711.95,690.25,8001,5641687.00,442
BSE,HCKKVENTURE,INE345Q01017,XT,31.25,32.00,30.87,32.00,32.49,205,6372.00,4
BSE,HCL-INSYS,INE236A01020,B,10.15,10.35,9.91,10.11,10.15,32507,330209.00,227
BSE,HCLTECH,INE860A01027,A,1261.40,1261.40,1223.00,1226.55,1285.00,146126,180741974.00,11240
BSE,HDBFS,INE756I01012,A,678.20,684.25,673.55,674.90,682.70,9274,6268510.00,575
BSE,HDFCAMC,INE127D01025,A,2454.95,2454.95,2411.00,2427.00,2455.00,18369,44552532.00,2609
BSE,HDFCBANK,INE040A01034,A,700.00,700.05,687.25,687.25,702.90,3428400,2380307723.00,42153
BSE,HDFCLIFE,INE795G01014,A,534.25,534.25,508.80,514.35,534.00,1198667,614858558.00,10630
BSE,HDIL,INE191I01012,Z,1.52,1.53,1.48,1.50,1.52,33226,50188.00,41
BSE,HEADSUP,INE759V01019,B,7.25,7.34,6.75,6.75,7.11,6951,48550.00,41
BSE,HEALTHX,INE019J01013,B,302.00,302.00,295.85,302.00,292.30,460,138689.00,60
BSE,HEALTHYLIFE,INE0L3501015,MT,7.15,7.15,6.88,6.90,7.09,16000,112560.00,7
BSE,HEERAISP,INE025D01013,X,7.00,7.00,7.00,7.00,7.00,565,3955.00,6
BSE,HEG,INE545A01024,T,255.50,273.35,255.00,263.30,260.35,372505,100383220.00,5055
BSE,HEIDELBERG,INE578A01017,B,160.00,160.65,159.45,159.60,159.85,25287,4039717.00,291
BSE,HELPAGE,INE738P01015,X,22.85,22.90,21.00,21.04,22.39,262,5514.00,11
BSE,HEMANG,INE930A01010,X,9.40,9.75,8.84,9.18,9.30,24867,232315.00,40
BSE,HEMIPROP,INE0AJG01018,B,124.20,125.05,122.45,123.45,124.20,17869,2211861.00,253
BSE,HERANBA,INE694N01015,B,172.70,174.35,171.40,173.70,172.65,1960,337792.00,88
BSE,HERCULES,INE688E01024,X,124.00,124.00,119.00,120.20,122.20,11761,1413309.00,139
BSE,HERITGFOOD,INE978A01027,B,381.90,383.40,376.75,379.80,381.80,12890,4894128.00,360
BSE,HEROMOTOCO,INE158A01026,A,5273.00,5294.95,5208.00,5238.00,5325.00,172921,903676392.00,5249
BSE,HESTERBIO,INE782E01017,B,2330.65,2330.65,2265.55,2317.10,2305.50,262,604516.00,73
BSE,HEXAGON,INE0JUI01012,T,64.93,67.41,63.02,67.41,64.20,14541,960928.00,82
BSE,HEXATRADEX,INE750M01017,B,158.85,160.00,156.80,156.80,160.45,28,4467.00,11
BSE,HEXT,INE093A01041,A,517.10,518.35,508.40,510.80,518.95,16698,8582572.00,704
BSE,HFCL,INE548A01028,T,249.80,254.00,241.65,245.75,250.15,2147217,535949480.00,4557
BSE,HFIL,INE552B01010,X,8.28,8.28,7.85,8.12,7.96,59320,477161.00,161
BSE,HGINFRA,INE926X01010,B,482.50,483.15,477.00,478.05,485.00,4285,2054214.00,295
BSE,HGM,INE596H01014,B,49.54,50.60,49.51,49.51,49.30,118,5848.00,26
