symbol,series,52w_high,52w_high_date,52w_low,52w_low_date
PSUBANKADD,EQ,99.88,26-FEB-2026,68.48,05-SEP-2025
PSUBKBENAV,EQ,-,-,-,-
PSUBNKBEES,EQ,110.40,26-FEB-2026,74.31,05-SEP-2025
PSUBNKIETF,EQ,104.00,24-FEB-2026,67.86,10-SEP-2025
PTC,EQ,229.51,07-MAY-2026,149.59,21-JAN-2026
PTCIL,EQ,24125.00,04-SEP-2026,13400.00,05-SEP-2025
PTL,EQ,43.77,25-JUN-2026,36.10,30-MAR-2026
PULSRIN$,EQ,-,-,-,-
PULZ,SM,44.25,23-SEP-2025,21.35,18-AUG-2026
PUNCTRD$,BE,-,-,-,-
PUNJABCHEM,EQ,1533.90,03-NOV-2025,876.60,30-MAR-2026
PURETROP$,EQ,-,-,-,-
PURITY$,EQ,-,-,-,-
PUROHITCO$,BE,-,-,-,-
PURPLEFIN$,EQ,-,-,-,-
PURPLEUTED,ST,587.95,29-OCT-2025,244.45,30-MAR-2026
PURPLEWAV$,ST,-,-,-,-
PURSHOTTA$,EQ,-,-,-,-
PURVA,EQ,296.45,04-SEP-2025,160.69,30-MAR-2026
PURVFLEXI,SM,124.95,11-SEP-2025,37.00,30-MAR-2026
PUSHPA,SM,148.75,04-NOV-2025,81.15,09-MAR-2026
PVP,EQ,71.90,01-SEP-2026,21.60,04-SEP-2025
PVRINOX,EQ,1284.50,25-AUG-2026,907.40,30-MAR-2026
PVSL,EQ,163.00,16-OCT-2025,82.41,16-MAR-2026
PVTBAKINAV,EQ,-,-,-,-
PVTBANIETF,EQ,30.32,19-FEB-2026,24.18,02-APR-2026
PVTBANK,EQ,28.33,12-AUG-2026,27.01,28-JUL-2026
PVTBANKADD,EQ,31.88,13-APR-2026,24.02,02-APR-2026
PVTBKGROWW,EQ,29.57,29-JUN-2026,25.45,08-JUN-2026
PVVINFRA$,EQ,-,-,-,-
PWASML$,EQ,-,-,-,-
PWL,EQ,161.99,18-NOV-2025,77.72,04-MAR-2026
PYRAMID,EQ,198.69,28-JUL-2026,131.80,30-MAR-2026
PYXISFIN$,ST,-,-,-,-
QFIL,SM,77.00,07-NOV-2025,38.00,02-APR-2026
QGO$,EQ,-,-,-,-
QGOLDHALF,EQ,149.69,29-JAN-2026,87.49,04-SEP-2025
QLINE,SM,659.75,03-SEP-2026,431.00,29-MAY-2026
QLL$,SM,-,-,-,-
QMSMEDI,BE,164.70,01-SEP-2026,68.95,17-MAR-2026
QNIFTY,EQ,291.19,05-JAN-2026,243.20,02-APR-2026
QPOWER,EQ,1502.70,31-AUG-2026,581.00,27-JAN-2026
QRIL$,SM,-,-,-,-
QTFOODS$,SM,-,-,-,-
QUADFUTURE,EQ,502.40,05-SEP-2025,248.55,18-DEC-2025
QUADPRO,SM,3.45,18-SEP-2025,1.85,30-MAR-2026
QUAL30IETF,EQ,23.00,01-SEP-2026,18.00,26-NOV-2025
QUALITINAV,EQ,-,-,-,-
QUALITY30,EQ,23.18,03-FEB-2026,18.09,23-MAR-2026
QUESS,EQ,388.75,31-AUG-2026,166.30,30-MAR-2026
QUESTCAP$,EQ,-,-,-,-
QUESTFLOW$,SM,-,-,-,-
QUESTLAB,SM,152.60,30-APR-2026,84.00,02-SEP-2026
QUICKHEAL,EQ,371.40,16-OCT-2025,125.00,30-MAR-2026
QUICKTOUCH,SM,51.00,17-SEP-2025,14.70,04-SEP-2026
QUINT,EQ,47.69,04-MAY-2026,33.45,22-APR-2026
QVCEL,SM,35.30,20-OCT-2025,21.75,24-JUL-2026
RAAJMEDI$,BE,-,-,-,-
RAAMA$,BE,-,-,-,-
RACE,EQ,252.00,10-SEP-2025,84.11,30-MAR-2026
RACHIT$,SM,-,-,-,-
RACLGEAR,EQ,1691.90,17-FEB-2026,890.00,10-SEP-2025
RACONTEUR$,SM,-,-,-,-
RADAAN,EQ,3.99,17-DEC-2025,2.35,30-MAR-2026
RADHEDE$,EQ,-,-,-,-
RADHIKAJWE,EQ,99.65,17-SEP-2025,50.01,30-MAR-2026
RADIANTCMS,EQ,57.95,04-SEP-2025,32.33,30-MAR-2026
RADICO,EQ,4747.00,19-AUG-2026,2500.00,02-MAR-2026
RADIOCITY,EQ,9.25,22-SEP-2025,4.50,30-MAR-2026
RADIOWALLA,ST,72.00,28-OCT-2025,22.20,30-MAR-2026
RADIXIND$,EQ,-,-,-,-
RAFL$,SM,-,-,-,-
RAGHUSYN$,EQ,-,-,-,-
RAGHUTOB$,EQ,-,-,-,-
RAILTEL,EQ,412.90,17-SEP-2025,245.00,30-MAR-2026
RAIN,EQ,252.00,07-AUG-2026,99.90,09-DEC-2025
RAINBOW,EQ,1610.00,05-AUG-2026,1084.00,23-MAR-2026
RAINBOWF$,EQ,-,-,-,-
RAJABAH$,EQ,-,-,-,-
RAJESH$,SM,-,-,-,-
RAJESHEXPO,BZ,237.88,22-DEC-2025,72.63,15-JUN-2026
RAJINDLTD,SM,91.00,01-DEC-2025,60.00,23-MAR-2026
RAJINFRA$,BE,-,-,-,-
RAJKOTINV$,EQ,-,-,-,-
RAJKSYN$,EQ,-,-,-,-
RAJMET,EQ,5.28,30-DEC-2025,2.72,24-MAR-2026
RAJNISH$,EQ,-,-,-,-
RAJOOENG,BE,103.69,11-SEP-2025,46.00,30-MAR-2026
RAJPACK$,EQ,-,-,-,-
RAJPALAYAM,EQ,875.00,08-JUL-2026,745.00,20-APR-2026
RAJPUTANA,SM,299.00,14-NOV-2025,169.00,22-JUL-2026
RAJPUTANA$,EQ,-,-,-,-
RAJRATAN,EQ,563.95,05-AUG-2026,305.55,08-OCT-2025
RAJRILTD,BE,28.90,25-SEP-2025,19.41,30-MAR-2026
RAJSEC$,EQ,-,-,-,-
RAJSPTR$,BE,-,-,-,-
RAJSREESUG,EQ,47.21,04-SEP-2025,24.65,23-MAR-2026
RAJTUBE$,BE,-,-,-,-
RAJTV,EQ,46.90,17-DEC-2025,8.07,04-SEP-2026
RAJVI$,EQ,-,-,-,-
RAL$,SM,-,-,-,-
RALEGRA$,BE,-,-,-,-
RALLIS,EQ,371.90,04-SEP-2025,204.51,02-SEP-2026
RAMANEWS,EQ,42.00,11-MAR-2026,27.05,07-NOV-2025
RAMAPHO,EQ,217.19,10-NOV-2025,103.50,30-MAR-2026
RAMAPPR-B$,BE,-,-,-,-
RAMASTEEL,BE,11.58,16-SEP-2025,3.43,30-MAR-2026
RAMBHAJO,EQ,279.33,27-AUG-2026,161.60,07-JUL-2026
RAMCOCEM,EQ,1214.50,09-FEB-2026,838.30,10-JUN-2026
RAMCOIND,EQ,398.05,22-SEP-2025,230.65,30-MAR-2026
RAMCOSYS,EQ,967.50,07-JUL-2026,342.10,30-MAR-2026
RAMINFO$,EQ,-,-,-,-
RAMKY,EQ,705.00,07-OCT-2025,333.00,02-SEP-2026
RAMRAT,EQ,602.45,28-AUG-2026,268.00,20-JAN-2026
RAMSONS$,EQ,-,-,-,-
RANASUG,EQ,16.45,24-AUG-2026,10.21,27-JAN-2026
RANDER$,BE,-,-,-,-
RANEHOLDIN,EQ,1894.50,04-AUG-2026,981.00,30-MAR-2026
RANJEET$,SM,-,-,-,-
RANJITSE$,BE,-,-,-,-
RAP$,EQ,-,-,-,-
RAPID$,SM,-,-,-,-
RAPIDFLEET,SM,244.90,26-AUG-2026,158.00,30-MAR-2026
RAPIDIN$,EQ,-,-,-,-
RAPPID,SM,376.00,21-JUL-2026,207.00,29-MAY-2026
RASANDIK$,EQ,-,-,-,-
RASIELEC$,EQ,-,-,-,-
RASRESOR$,EQ,-,-,-,-
RATEGAIN,EQ,1050.00,06-AUG-2026,437.00,30-MAR-2026
RATHIBAR$,EQ,-,-,-,-
RATHIST$,BE,-,-,-,-
RATNABHUM$,EQ,-,-,-,-
RATNAMANI,EQ,3345.00,11-MAY-2026,1936.50,11-FEB-2026
RATNAVEER,EQ,314.90,31-AUG-2026,130.50,30-MAR-2026
RAVALSUGA$,EQ,-,-,-,-
RAVEL$,SM,-,-,-,-
RAWEDGE$,EQ,-,-,-,-
RAYALEMA$,EQ,-,-,-,-
RAYMOND,EQ,765.00,03-SEP-2026,320.00,30-MAR-2026
RAYMONDLSL,EQ,1350.00,16-SEP-2025,628.25,02-SEP-2026
RAYMONDREL,EQ,734.90,13-JUL-2026,349.00,16-MAR-2026
RBA,EQ,111.15,24-AUG-2026,57.15,30-MAR-2026
RBLBANK,EQ,417.05,04-SEP-2026,261.60,01-OCT-2025
RBMINFRA,SM,524.80,17-NOV-2025,221.00,19-AUG-2026
RBS,SM,134.00,09-SEP-2025,58.80,16-MAR-2026
RBZJEWEL,EQ,204.70,04-SEP-2026,100.00,30-MAR-2026
RCAN$,SM,-,-,-,-
RCCL$,EQ,-,-,-,-
RCDL,SM,23.65,31-JUL-2026,11.15,08-JAN-2026
RCDL-RE,ST,6.25,31-AUG-2026,1.75,02-SEP-2026
RCF,EQ,164.49,04-SEP-2025,106.00,30-MAR-2026
RCL$,BE,-,-,-,-
RCOM,BE,1.51,06-OCT-2025,.75,05-MAR-2026
RDBIPL$,EQ,-,-,-,-
RDBRL$,EQ,-,-,-,-
RDEL$,SM,-,-,-,-
RDGAIL$,SM,-,-,-,-
READYMIX,SM,175.00,08-SEP-2025,68.80,29-MAY-2026
REALECO$,EQ,-,-,-,-
RECLTD,EQ,390.50,18-SEP-2025,304.05,30-MAR-2026
RECODE$,ST,-,-,-,-
REDINGTON,EQ,378.80,04-SEP-2026,191.31,02-APR-2026
REDTAPE,EQ,163.50,19-SEP-2025,107.53,27-JAN-2026
REETECH$,SM,-,-,-,-
REFEX,EQ,415.00,24-SEP-2025,188.00,23-MAR-2026
REFRACTORY,SM,61.20,23-DEC-2025,24.25,04-SEP-2026
REGAAL,EQ,113.75,08-SEP-2025,57.27,02-FEB-2026
REGAL$,EQ,-,-,-,-
REGANTO$,BE,-,-,-,-
REGENCERAM,EQ,54.99,23-OCT-2025,30.00,31-JUL-2026
REGENCY$,BE,-,-,-,-
REGENTRP$,EQ,-,-,-,-
REGIS$,EQ,-,-,-,-
REL100NAV,EQ,-,-,-,-
RELAXO,EQ,526.00,04-SEP-2025,236.50,30-MAR-2026
RELCHEMQ,EQ,167.70,16-SEP-2025,105.01,30-MAR-2026
RELCONSNAV,EQ,-,-,-,-
RELDIVNAV,EQ,-,-,-,-
RELIABLE,EQ,175.00,04-FEB-2026,104.74,27-MAR-2026
RELIANCE,EQ,1611.80,05-JAN-2026,1249.80,24-JUL-2026
RELICAB$,EQ,-,-,-,-
RELICTEC$,EQ,-,-,-,-
RELIGARE,EQ,280.00,25-JUN-2026,196.51,09-MAR-2026
RELINFRA,BE,299.00,04-SEP-2025,54.80,04-SEP-2026
RELNV20NAV,EQ,-,-,-,-
RELTD,EQ,196.45,09-JUL-2026,114.77,01-JUN-2026
REMAGNET$,EQ,-,-,-,-
REMIEDEL$,EQ,-,-,-,-
REMSONSIND,EQ,152.45,04-NOV-2025,75.23,15-JUL-2026
REMUS,SM,987.50,21-AUG-2026,580.00,09-MAR-2026
RENUKA,EQ,33.30,18-SEP-2025,21.05,03-JUN-2026
REPCOHOME,EQ,455.90,06-NOV-2025,333.60,23-MAR-2026
REPL,BE,169.18,04-SEP-2025,59.40,19-AUG-2026
REPONO$,ST,-,-,-,-
REPRO,EQ,590.00,14-NOV-2025,301.00,01-SEP-2026
RESGEN$,SM,-,-,-,-
RESONANCE$,BE,-,-,-,-
RESPONIND,EQ,240.90,20-JUL-2026,117.25,02-APR-2026
RESPONSIN$,EQ,-,-,-,-
RESTILE$,EQ,-,-,-,-
RETAGGIO$,SM,-,-,-,-
RETAIL,EQ,43.79,16-SEP-2025,15.81,01-SEP-2026
RETINA$,SM,-,-,-,-
REXNORD$,BE,-,-,-,-
REXPIPES,SM,208.00,27-FEB-2026,130.20,19-NOV-2025
REXPRO,SM,87.60,11-SEP-2025,36.45,01-SEP-2026
REXSEAL$,SM,-,-,-,-
RFBL,ST,104.70,08-JUL-2026,52.50,19-MAY-2026
RFIL$,SM,-,-,-,-
RFL$,EQ,-,-,-,-
RFLL$,EQ,-,-,-,-
RFSL$,EQ,-,-,-,-
RGF$,BE,-,-,-,-
RGL,EQ,159.00,26-AUG-2026,85.00,23-MAR-2026
RGRL$,BE,-,-,-,-
RHETAN,EQ,34.87,11-AUG-2026,19.10,31-AUG-2026
RHFL,BZ,4.99,08-SEP-2025,1.70,21-AUG-2026
RHIM,EQ,508.30,07-OCT-2025,323.05,30-MAR-2026
