exchange,symbol,isin,series,open,high,low,close,prev_close,volume,value,trades
BSE,RACE,INE084Q01012,B,98.01,100.49,97.49,98.01,101.00,1168,114482.00,18
BSE,RACLGEAR,INE704B01017,B,1577.30,1577.30,1528.40,1538.10,1576.15,2751,4253681.00,291
BSE,RACONTEUR,INE00WY01013,M,9.21,9.21,9.21,9.21,8.78,1600,14736.00,1
BSE,RADAAN,INE874F01027,B,2.94,3.06,2.89,2.94,3.08,1570,4603.00,8
BSE,RADHEDE,INE986B01044,X,1.44,1.46,1.40,1.41,1.44,120932,172750.00,149
BSE,RADHIKAJWE,INE583V01021,B,94.48,97.29,86.49,88.14,94.03,495683,45166904.00,3303
BSE,RADIANTCMS,INE855R01021,B,42.41,43.38,41.09,41.30,42.73,36213,1511973.00,391
BSE,RADICO,INE944F01028,A,4446.70,4496.00,4424.50,4465.00,4443.10,6156,27462001.00,1156
BSE,RADIOCITY,INE919I01024,B,5.66,6.27,5.66,6.07,6.28,2875,17774.00,49
BSE,RADIXIND,INE576N01014,X,143.50,157.45,143.50,143.50,150.60,574,86559.00,13
BSE,RAGHUNAT,INE753B01014,X,10.06,10.85,10.06,10.85,10.02,566,5897.00,8
BSE,RAGHUSYN,INE969C01022,X,93.00,93.50,91.10,92.99,90.70,2043,189756.00,9
BSE,RAGHUTOB,INE754B01012,X,14.75,14.75,13.70,14.44,13.70,341,4898.00,8
BSE,RAILTEL,INE0DD101019,A,273.75,273.75,265.05,266.50,269.80,45879,12253273.00,1078
BSE,RAIN,INE855B01025,A,213.25,222.20,212.60,217.35,211.65,313841,68429412.00,3217
BSE,RAINBOW,INE961O01016,A,1484.95,1484.95,1445.00,1449.50,1466.20,202201,294395581.00,261
BSE,RAINBOWF,INE230F01014,X,34.84,34.84,30.67,32.40,33.78,6384,206889.00,42
BSE,RAJABAH,INE491N01016,X,5050.00,5050.00,5050.00,5050.00,5030.00,2,10100.00,1
BSE,RAJESH,INE0VN801010,M,835.00,837.00,809.00,812.60,826.45,21700,17639250.00,168
BSE,RAJESHEXPO,INE343B01030,Z,78.81,80.79,77.50,79.85,80.27,20870,1648944.00,423
BSE,RAJINFRA,INE016C01014,Z,4.30,4.30,4.26,4.26,4.26,3,12.00,2
BSE,RAJKOTINV,INE176R01014,X,43.50,43.50,43.50,43.50,43.50,108,4698.00,4
BSE,RAJKSYN,INE376L01013,X,22.95,22.95,19.90,21.35,20.96,3985,81072.00,20
BSE,RAJNISH,INE685Z01033,B,0.40,0.40,0.39,0.40,0.40,1381900,547206.00,365
BSE,RAJOOENG,INE535F01024,T,56.44,56.44,52.50,54.11,53.98,35497,1968040.00,204
BSE,RAJPACK,INE639C01013,X,30.24,30.24,29.20,29.78,29.75,158,4758.00,5
BSE,RAJPALAYAM,INE296E01026,B,773.00,791.50,770.40,785.00,779.00,191,147896.00,19
BSE,RAJPUTANA,INE751R01014,X,30.09,31.50,29.50,30.63,29.50,3051,93397.00,18
BSE,RAJRATAN,INE451D01029,B,490.05,498.30,486.50,497.35,489.75,4270,2098364.00,201
BSE,RAJRILTD,INE533D01032,T,21.75,21.89,21.50,21.67,21.50,518,11213.00,22
BSE,RAJSEC,INE184D01026,X,57.60,57.60,55.40,55.50,57.40,3277,182634.00,39
BSE,RAJSPTR,INE374C01017,P,10.84,10.84,10.84,10.84,10.33,1500,16260.00,9
BSE,RAJSREESUG,INE562B01019,B,34.12,35.90,34.12,35.21,35.93,2849,100715.00,73
BSE,RAJTUBE,INE497E01020,XT,10.39,10.39,9.69,10.29,10.19,9065,90024.00,64
BSE,RAJTV,INE952H01027,B,8.80,8.88,8.33,8.61,8.52,29577,251499.00,38
BSE,RAJVI,INE381N01019,X,27.05,27.05,27.05,27.05,25.77,100,2705.00,1
BSE,RAL,INE0SK201011,M,39.01,39.01,39.01,39.01,41.00,1200,46812.00,1
BSE,RALEGRA,INE427E01027,X,54.00,59.40,54.00,59.40,54.00,39,2117.00,3
BSE,RALLIS,INE613A01020,A,206.05,207.00,204.65,205.60,206.05,27463,5655223.00,523
BSE,RAMANEWS,INE278B01020,B,33.51,34.00,32.68,33.60,32.81,15418,521277.00,269
BSE,RAMAPHO,INE809A01032,B,124.00,125.90,123.75,124.20,124.70,1331,165904.00,66
BSE,RAMAPPR-B,INE425E01013,Z,15.51,15.99,15.37,15.66,15.51,3914,60831.00,25
BSE,RAMASTEEL,INE230R01035,T,4.17,4.17,4.17,4.17,4.09,69732,290782.00,121
BSE,RAMAVISION,INE763B01013,X,170.00,173.95,165.00,166.00,168.15,2228,375465.00,82
BSE,RAMBHAJO,INE1SJO01012,B,273.55,283.60,268.00,276.05,275.45,54834,15090201.00,923
BSE,RAMCOCEM,INE331A01037,A,877.25,881.50,866.00,870.95,869.80,6402,5580855.00,340
BSE,RAMCOIND,INE614A01028,B,321.90,324.75,318.55,322.15,323.55,4955,1587896.00,131
BSE,RAMCOSYS,INE246B01019,B,604.00,615.55,590.00,610.15,603.35,6645,4012603.00,426
BSE,RAMGOPOLY,INE410D01017,XT,30.75,30.75,30.73,30.73,31.35,600,18440.00,3
BSE,RAMINFO,INE357B01022,X,43.95,44.20,43.01,43.80,44.07,14813,653683.00,43
BSE,RAMKY,INE874I01013,B,338.10,340.65,334.75,337.75,339.45,689,232127.00,52
BSE,RAMRAT,INE207E01023,B,527.10,535.75,509.00,531.40,526.90,23378,12261537.00,798
BSE,RAMSONS,INE609D01014,X,79.15,79.96,79.15,79.50,79.00,247,19711.00,7
BSE,RANASUG,INE625B01014,B,14.92,15.14,14.85,15.06,15.05,45958,688615.00,318
BSE,RANDER,INE821D01031,XT,13.40,13.40,12.73,12.73,13.40,7156,94051.00,17
BSE,RANEHOLDIN,INE384A01010,B,1664.50,1741.95,1661.10,1691.25,1670.90,6556,11211632.00,138
BSE,RANJITSE,INE863D01017,XT,55.25,60.90,55.25,58.52,58.00,203,11556.00,5
BSE,RAP,INE483D01014,X,35.00,35.00,30.42,30.89,33.15,12455,392636.00,81
BSE,RAPICUT,INE350D01015,XT,347.20,349.15,347.20,348.00,342.35,17154,5985777.00,47
BSE,RAPID,INE0QA901010,M,136.00,136.00,136.00,136.00,132.00,800,108800.00,1
BSE,RAPIDIN,INE154M01012,X,99.99,99.99,90.75,99.90,95.52,23,2216.00,8
BSE,RASANDIK,INE682D01011,X,54.00,59.89,54.00,56.53,56.81,2138,120687.00,22
BSE,RASIELEC,INE822D01021,X,12.38,12.38,12.15,12.27,12.35,6493,79844.00,61
BSE,RASRESOR,INE651D01016,X,56.49,56.49,54.00,54.02,58.80,1641,89721.00,27
BSE,RATEGAIN,INE0CLI01024,A,852.45,870.70,848.05,861.40,857.05,68831,58895488.00,653
BSE,RATHIBAR,INE575I01016,X,17.00,17.00,16.10,16.49,16.29,2227,36647.00,29
BSE,RATHIST,INE336C01016,XT,22.00,22.89,21.52,22.62,22.25,45531,1024791.00,130
BSE,RATNAMANI,INE703B01027,A,2682.30,2818.10,2639.30,2802.95,2655.40,7800,21568850.00,881
BSE,RATNAVEER,INE05CZ01011,B,309.35,309.65,295.10,297.65,306.35,54856,16472092.00,860
BSE,RAVALSUGAR,INE615A01025,X,942.00,942.00,920.20,920.85,944.40,38,35267.00,5
BSE,RAVEL,INE0W4D01018,M,110.00,110.00,110.00,110.00,111.15,2000,220000.00,2
BSE,RAWEDGE,INE960Z01014,B,15.94,16.00,15.16,15.20,15.94,3363,51333.00,25
BSE,RAYALEMA,INE008C01011,X,29.00,29.00,27.15,28.85,28.97,458,12966.00,20
BSE,RAYMOND,INE301A01014,A,772.30,869.05,772.30,858.35,772.80,823824,694411323.00,17428
BSE,RAYMONDLSL,INE02ID01020,A,675.00,727.75,672.00,696.10,672.05,28338,20015433.00,1198
BSE,RAYMONDREL,INE1SY401010,B,556.95,592.80,549.95,581.25,554.80,71947,41344742.00,2145
BSE,RBA,INE07T201019,A,97.50,97.50,95.11,95.57,96.33,78066,7484184.00,831
BSE,RBLBANK,INE976G01028,A,413.00,419.00,412.95,418.40,413.00,83155,34672472.00,1233
BSE,RBZJEWEL,INE0PEQ01016,T,190.00,190.90,181.15,182.90,190.65,17883,3286848.00,219
