exchange,symbol,isin,series,open,high,low,close,prev_close,volume,value,trades
BSE,SCAGRO,INE895E01017,XT,28.92,29.76,28.92,29.76,28.35,642,18852.00,9
BSE,SCANPRO,INE393D01015,X,112.15,112.15,105.00,105.00,106.85,4,434.00,3
BSE,SCANSTL,INE099G01011,T,50.50,53.49,50.00,51.31,51.00,15091,771789.00,62
BSE,SCC,INE892C01018,X,9.74,9.75,8.85,9.02,8.90,468,4523.00,17
BSE,SCDL,INE0UMH01018,M,63.00,65.00,63.00,65.00,64.50,9600,617280.00,4
BSE,SCHAEFFLER,INE513A01022,A,4061.30,4091.35,4016.70,4025.40,4084.05,1422,5763690.00,238
BSE,SCHAND,INE807K01035,B,135.35,139.50,135.35,136.95,138.55,2400,331040.00,78
BSE,SCHNEIDER,INE839M01018,A,1245.00,1245.00,1214.00,1218.65,1244.40,15502,18994853.00,817
BSE,SCI,INE109A01011,A,277.20,279.75,273.90,276.55,279.15,190702,52565647.00,2253
BSE,SCILAL,INE0PB301013,B,38.38,38.38,37.10,37.41,38.16,38820,1454604.00,214
BSE,SCODATUBES,INE090501011,B,137.75,137.80,130.90,133.50,137.80,177725,23597986.00,411
BSE,SCOOBEEDAY,INE962E01015,X,63.06,63.06,61.58,61.58,63.99,241,14890.00,9
BSE,SCPL,INE501Y01019,T,660.10,663.95,633.00,637.80,663.95,1132,727401.00,110
BSE,SCTL,INE452S01025,X,0.43,0.44,0.43,0.43,0.44,474012,204846.00,142
BSE,SDBL,INE480C01038,B,68.10,68.10,67.00,67.18,67.86,27920,1882840.00,274
BSE,SDL,INE004E01016,X,29.64,29.64,29.63,29.63,29.64,70,2074.00,7
BSE,SEALMATIC,INE0O4601016,M,403.00,411.00,400.00,411.00,400.20,5220,2111301.00,28
BSE,SEAMECLTD,INE497B01018,B,1736.00,1761.60,1721.50,1729.45,1752.25,1173,2037035.00,145
BSE,SEASONST,INE707B01010,X,17.61,19.43,17.61,18.50,17.97,84,1531.00,6
BSE,SEATV,INE351L01016,X,3.00,3.00,3.00,3.00,3.15,291,873.00,6
BSE,SECURKLOUD,INE650K01021,B,17.10,17.21,16.40,16.71,17.17,8505,143358.00,74
BSE,SEDEMAC,INE00XB01019,B,3021.00,3350.00,3005.00,3305.15,3052.50,209509,681706396.00,7185
BSE,SEEMAX,INE1EVO01017,M,55.00,55.00,55.00,55.00,55.00,1000,55000.00,1
BSE,SEIL,INE440T01028,B,196.60,199.35,192.25,194.65,197.70,41936,8263274.00,596
BSE,SEJALLTD,INE955I01044,B,708.00,726.95,670.00,679.70,702.85,1158,803570.00,126
BSE,SEKURITIND,INE068B01017,B,113.05,114.25,111.10,111.40,114.00,4360,490752.00,136
BSE,SELECTRIC,INE155D01018,B,1829.85,1921.75,1810.00,1921.75,1830.25,23510,45047091.00,486
BSE,SEMAC,INE617A01013,B,264.00,264.00,264.00,264.00,265.00,10,2640.00,5
BSE,SEML,INE0KPY01017,M,35.00,35.00,32.93,34.70,34.66,16125,539925.00,27
BSE,SENCO,INE602W01027,A,339.85,339.85,333.70,336.10,341.95,54882,18482567.00,845
BSE,SENORES,INE0RB801010,A,1386.90,1397.40,1341.00,1344.40,1385.05,8808,12017482.00,1033
BSE,SEPC,INE964H01014,B,5.05,5.18,5.04,5.12,5.21,475276,2419003.00,374
