symbol,series,52w_high,52w_high_date,52w_low,52w_low_date
RAYMOND,EQ,1193.40,22-SEP-2026,320.00,30-MAR-2026
RAYMONDLSL,EQ,1292.00,24-SEP-2025,628.25,02-SEP-2026
RAYMONDREL,EQ,734.90,13-JUL-2026,349.00,16-MAR-2026
RBA,EQ,111.15,24-AUG-2026,57.15,30-MAR-2026
RBLBANK,EQ,424.40,22-SEP-2026,261.60,01-OCT-2025
RBMINFRA,SM,524.80,17-NOV-2025,221.00,19-AUG-2026
RBS,SM,132.00,23-SEP-2025,58.80,16-MAR-2026
RBZJEWEL,BE,204.70,04-SEP-2026,100.00,30-MAR-2026
RCAN$,SM,-,-,-,-
RCCL$,EQ,-,-,-,-
RCDL,SM,23.65,31-JUL-2026,11.15,08-JAN-2026
RCDL-RE,ST,6.25,31-AUG-2026,1.75,02-SEP-2026
RCF,EQ,157.20,18-NOV-2025,106.00,30-MAR-2026
RCL$,BE,-,-,-,-
RCOM,BE,1.51,06-OCT-2025,.75,05-MAR-2026
RDBIPL$,EQ,-,-,-,-
RDBRL$,EQ,-,-,-,-
RDEL$,SM,-,-,-,-
RDGAIL$,ST,-,-,-,-
READYMIX,SM,164.55,23-SEP-2025,67.00,22-SEP-2026
REALECO$,EQ,-,-,-,-
RECLTD,EQ,390.30,01-OCT-2025,304.05,30-MAR-2026
RECODE$,ST,-,-,-,-
REDINGTON,EQ,413.20,18-SEP-2026,191.31,02-APR-2026
REDTAPE,EQ,163.30,22-SEP-2025,107.53,27-JAN-2026
REETECH$,SM,-,-,-,-
REFEX,EQ,415.00,24-SEP-2025,188.00,23-MAR-2026
REFRACTORY,SM,61.20,23-DEC-2025,23.15,08-SEP-2026
REGAAL,EQ,106.00,22-SEP-2025,57.27,02-FEB-2026
REGAL$,EQ,-,-,-,-
REGANTO$,BE,-,-,-,-
REGENCERAM,EQ,54.99,23-OCT-2025,30.00,31-JUL-2026
REGENCY$,BE,-,-,-,-
REGENTRP$,EQ,-,-,-,-
REGIS$,EQ,-,-,-,-
REL100NAV,EQ,-,-,-,-
RELAXO,EQ,474.45,22-SEP-2025,236.50,30-MAR-2026
RELCHEMQ,EQ,163.45,23-SEP-2025,105.01,30-MAR-2026
RELCONSNAV,EQ,-,-,-,-
RELDIVNAV,EQ,-,-,-,-
RELIABLE,EQ,175.00,04-FEB-2026,104.74,27-MAR-2026
RELIABVEN$,BE,-,-,-,-
RELIANCE,EQ,1611.80,05-JAN-2026,1226.40,18-SEP-2026
RELICAB$,EQ,-,-,-,-
RELICTEC$,EQ,-,-,-,-
RELIGARE,EQ,280.00,25-JUN-2026,196.51,09-MAR-2026
RELINFRA,BE,273.70,23-SEP-2025,48.02,22-SEP-2026
RELNV20NAV,EQ,-,-,-,-
RELTD,EQ,196.45,09-JUL-2026,114.77,01-JUN-2026
REMAGNET$,EQ,-,-,-,-
REMIEDEL$,EQ,-,-,-,-
REMSONSIND,EQ,152.45,04-NOV-2025,75.23,15-JUL-2026
REMUS,SM,1007.00,18-SEP-2026,580.00,09-MAR-2026
RENTOMOJO,EQ,581.95,18-SEP-2026,482.45,17-SEP-2026
RENUKA,EQ,32.40,24-SEP-2025,21.05,03-JUN-2026
REPCOHOME,EQ,455.90,06-NOV-2025,333.60,23-MAR-2026
REPL,EQ,168.00,25-SEP-2025,56.00,22-SEP-2026
REPONO$,ST,-,-,-,-
REPRO,EQ,590.00,14-NOV-2025,285.20,15-SEP-2026
RESGEN$,SM,-,-,-,-
RESONANCE$,BE,-,-,-,-
RESPONIND,EQ,240.90,20-JUL-2026,117.25,02-APR-2026
RESPONSIN$,EQ,-,-,-,-
RESTILE$,EQ,-,-,-,-
RETAGGIO$,SM,-,-,-,-
