exchange,symbol,isin,series,open,high,low,close,prev_close,volume,value,trades
BSE,1STCUS,INE609B01018,X,69.57,69.57,69.50,69.50,69.72,18,1251.00,2
BSE,20MICRONS,INE144J01027,B,206.05,207.85,203.35,204.00,205.30,7093,1452894.00,161
BSE,21STCENMGM,INE253B01015,B,32.44,32.58,31.95,32.58,31.95,4492,145969.00,14
BSE,360ONE,INE466L01038,A,1139.40,1139.40,1093.25,1099.45,1096.40,31520,34858407.00,2907
BSE,3BBLACKBIO,INE994E01018,B,1194.65,1284.80,1183.35,1272.00,1194.70,11137,13988627.00,1014
BSE,3IINFOLTD,INE748C01038,B,18.30,18.30,17.94,18.09,18.15,21865,395550.00,127
BSE,3MINDIA,INE470A01017,A,36867.50,36908.95,35800.00,35909.95,36486.05,387,13982795.00,211
BSE,3PLAND,INE105C01023,B,28.00,35.25,28.00,31.03,33.35,569,19573.00,17
BSE,4THGEN,INE739B01039,XT,7.99,7.99,7.99,7.99,7.61,211,1685.00,3
BSE,5PAISA,INE618L01018,B,393.95,399.00,388.35,390.10,384.50,4714,1848793.00,265
BSE,63MOONS,INE111B01023,A,735.30,743.95,716.05,719.00,721.60,12103,8826124.00,556
BSE,7NR,INE413X01035,XT,5.55,5.73,5.25,5.41,5.50,46524,256118.00,85
BSE,7SEASL,INE454F01010,X,73.16,73.56,70.20,71.14,71.49,9078,659936.00,45
BSE,7TEC,INE856B01023,X,37.99,37.99,35.50,36.34,37.38,21828,794472.00,189
BSE,A1L,INE911Z01025,B,5.98,6.25,5.72,6.02,5.96,5781657,34870193.00,5008
BSE,A2ZINFRA,INE619I01012,B,14.75,14.75,13.15,13.53,13.91,69784,948830.00,227
BSE,AAATECH,INE0D0U01013,B,92.70,94.84,92.70,93.52,95.27,1719,161109.00,86
BSE,AADHARHFC,INE883F01010,A,518.10,521.30,511.80,513.15,518.65,383519,198252840.00,1146
BSE,AADIIND,INE563D01013,X,8.85,8.85,8.41,8.41,8.85,839,7075.00,17
BSE,AAIL,INE864E01021,X,97.00,98.65,92.00,93.95,95.25,3359,318297.00,71
BSE,AANCHALISP,INE322R01022,XT,92.75,92.75,92.75,92.75,88.35,10967,1017189.00,26
BSE,AAREYDRUGS,INE198H01019,T,81.00,81.00,80.45,80.45,82.09,506,40982.00,2
BSE,AARNAV,INE750R01016,B,26.07,26.75,25.43,26.29,26.06,675,17656.00,17
BSE,AARTECH,INE01C001026,T,49.70,49.80,47.04,49.28,48.50,3631,176376.00,30
BSE,AARTIDRUGS,INE767A01016,B,407.50,427.95,406.80,420.40,406.80,39012,16367074.00,1246
BSE,AARTIIND,INE769A01020,A,484.65,510.90,483.80,500.60,482.80,213293,107388791.00,5172
BSE,AARTIPHARM,INE0LRU01027,A,702.00,730.00,702.00,718.50,709.95,10808,7825636.00,598
